"","orchestra","section","name","link","title","isLead"
"1","Atlanta Symphony Orchestra","First Violin","David Coucheron","https://www.aso.org/artists/detail/david-coucheron","Concertmaster",TRUE
"2","Atlanta Symphony Orchestra","First Violin","Justin Bruns","https://www.aso.org/artists/detail/justin-bruns","Associate Concertmaster",TRUE
"3","Atlanta Symphony Orchestra","First Violin","Jun-Ching Lin","https://www.aso.org/artists/detail/jun-ching-lin","Assistant Concertmaster",TRUE
"4","Atlanta Symphony Orchestra","First Violin","John Meisner","https://www.aso.org/artists/detail/john-meisner","First Violin",FALSE
"5","Atlanta Symphony Orchestra","First Violin","Kenn Wagner","https://www.aso.org/artists/detail/kenn-wagner","First Violin",FALSE
"6","Atlanta Symphony Orchestra","First Violin","Juan R. Ramírez Hernández","https://www.aso.org/artists/detail/juan-r-ramirez-hernandez","First Violin",FALSE
"7","Atlanta Symphony Orchestra","First Violin","Lisa Wiedman Yancich","https://www.aso.org/artists/detail/lisa-wiedman-yancich","First Violin",FALSE
"8","Atlanta Symphony Orchestra","First Violin","Sissi Yuqing Zhang","https://www.aso.org/artists/detail/sissi-yuqing-zhang","First Violin",FALSE
"9","Atlanta Symphony Orchestra","First Violin","Carolyn Toll Hancock","https://www.aso.org/artists/detail/carolyn-toll-hancock","First Violin",FALSE
"10","Atlanta Symphony Orchestra","First Violin","Christopher Pulgram","https://www.aso.org/artists/detail/christopher-pulgram","First Violin",FALSE
"11","Atlanta Symphony Orchestra","First Violin","Olga Shpitko","https://www.aso.org/artists/detail/olga-shpitko","First Violin",FALSE
"12","Atlanta Symphony Orchestra","First Violin","Anastasia Agapova","https://www.aso.org/artists/detail/anastasia-agapova","First Violin",FALSE
"13","Atlanta Symphony Orchestra","First Violin","Kevin Chen","https://www.aso.org/artists/detail/kevin-chen","First Violin",FALSE
"14","Atlanta Symphony Orchestra","Second Violin","Sou-Chun Su","https://www.aso.org/artists/detail/sou-chun-su","Acting Principal Second Violin",TRUE
"15","Atlanta Symphony Orchestra","Second Violin","Jay Christy","https://www.aso.org/artists/detail/jay-christy","Acting Associate Principal Second Violin",TRUE
"16","Atlanta Symphony Orchestra","Second Violin","Noriko Konno Clift","https://www.aso.org/artists/detail/noriko-konno-clift","Acting Assistant Principal Second Violin",TRUE
"17","Atlanta Symphony Orchestra","Second Violin","Ruth Ann Little","https://www.aso.org/artists/detail/ruth-ann-little","Second Violin",FALSE
"18","Atlanta Symphony Orchestra","Second Violin","Ellie Kosek","https://www.aso.org/artists/detail/ellie-kosek","Second Violin",FALSE
"19","Atlanta Symphony Orchestra","Second Violin","David Dillard","https://www.aso.org/artists/detail/david-dillard","Second Violin",FALSE
"20","Atlanta Symphony Orchestra","Second Violin","Sharon Berenson","https://www.aso.org/artists/detail/sharon-berenson","Second Violin, Piano",FALSE
"21","Atlanta Symphony Orchestra","Second Violin","Sheela Iyengar","https://www.aso.org/artists/detail/sheela-iyengar","Second Violin",FALSE
"22","Atlanta Symphony Orchestra","Second Violin","Dae Hee Ahn","https://www.aso.org/artists/detail/dae-hee-ahn","Second Violin",FALSE
"23","Atlanta Symphony Orchestra","Second Violin","Robert Anemone","https://www.aso.org/artists/detail/robert-anemone","Second Violin",FALSE
"24","Atlanta Symphony Orchestra","Second Violin","Rachel Ostler","https://www.aso.org/artists/detail/rachel-ostler","Second Violin",FALSE
"25","Atlanta Symphony Orchestra","Section Violin","Judith Cox","https://www.aso.org/artists/detail/judith-cox","Section Violin",FALSE
"26","Atlanta Symphony Orchestra","Section Violin","Raymond Leung","https://www.aso.org/artists/detail/raymond-leung","Section Violin",FALSE
"27","Atlanta Symphony Orchestra","Section Violin","Sanford Salzinger","https://www.aso.org/artists/detail/sanford-salzinger","Section Violin",FALSE
"28","Atlanta Symphony Orchestra","Viola","Zhenwei Shi","https://www.aso.org/artists/detail/zhenwei-shi","Principal Viola",TRUE
"29","Atlanta Symphony Orchestra","Viola","Paul Murphy","https://www.aso.org/artists/detail/paul-murphy","Associate Principal Viola",TRUE
"30","Atlanta Symphony Orchestra","Viola","Catherine Lynn","https://www.aso.org/artists/detail/catherine-lynn","Assistant Principal Viola",TRUE
"31","Atlanta Symphony Orchestra","Viola","Lachlan McBane","https://www.aso.org/artists/detail/lachlan-mcbane","Viola",FALSE
"32","Atlanta Symphony Orchestra","Viola","Yang-Yoon Kim","https://www.aso.org/artists/detail/yang-yoon-kim","Viola",FALSE
"33","Atlanta Symphony Orchestra","Viola","Jessica Oudin","https://www.aso.org/artists/detail/jessica-oudin","Viola",FALSE
