"","orchestra","section","name","link","title","isLead"
"1","Boston Symphony Orchestra","First Violins","Tamara Smirnova","https://www.bso.org/profiles/tamara-smirnova","First Associate Concertmaster","TRUE"
"2","Boston Symphony Orchestra","First Violins","Alexander Velinzon","https://www.bso.org/profiles/alexander-velinzon","Associate Concertmaster","TRUE"
"3","Boston Symphony Orchestra","First Violins","Elita Kang","https://www.bso.org/profiles/elita-kang","Assistant Concertmaster","TRUE"
"4","Boston Symphony Orchestra","First Violins","Yuncong Zhang","https://www.bso.org/profiles/yuncong-zhang","First Violins","FALSE"
"5","Boston Symphony Orchestra","First Violins","Lucia Lin","https://www.bso.org/profiles/lucia-lin","First Violins","FALSE"
"6","Boston Symphony Orchestra","First Violins","Ikuko Mizuno","https://www.bso.org/profiles/ikuko-mizuno","First Violins","FALSE"
"7","Boston Symphony Orchestra","First Violins","Bo Youp Hwang","https://www.bso.org/profiles/bo-youp-hwang","First Violins","FALSE"
"8","Boston Symphony Orchestra","First Violins","Jennie Shames","https://www.bso.org/profiles/jennie-shames","First Violins","FALSE"
"9","Boston Symphony Orchestra","First Violins","Valeria Vilker Kuchment","https://www.bso.org/profiles/valeria-vilker-kuchment","First Violins","FALSE"
"10","Boston Symphony Orchestra","First Violins","Tatiana Dimitriades","https://www.bso.org/profiles/tatiana-dimitriades","First Violins","FALSE"
"11","Boston Symphony Orchestra","First Violins","Si-Jing Huang","https://www.bso.org/profiles/si-jing-huang","First Violins","FALSE"
"12","Boston Symphony Orchestra","First Violins","Wendy Putnam","https://www.bso.org/profiles/wendy-putnam","First Violins","FALSE"
"13","Boston Symphony Orchestra","First Violins","Xin Ding","https://www.bso.org/profiles/xin-ding","First Violins","FALSE"
"14","Boston Symphony Orchestra","First Violins","Glen Cherry","https://www.bso.org/profiles/glen-cherry","First Violins","FALSE"
"15","Boston Symphony Orchestra","First Violins","Lisa Ji Eun Kim","https://www.bso.org/profiles/lisa-ji-eun-kim","First Violins","FALSE"
"16","Boston Symphony Orchestra","First Violins","Jenny Ahn","https://www.bso.org/profiles/jenny-ahn","First Violins","FALSE"
"17","Boston Symphony Orchestra","Second Violins","Haldan Martinson","https://www.bso.org/profiles/haldan-martinson","Principal","TRUE"
"18","Boston Symphony Orchestra","Second Violins","Julianne Lee","https://www.bso.org/profiles/julianne-lee","Assistant Principal","TRUE"
"19","Boston Symphony Orchestra","Second Violins","Sheila Fiekowsky","https://www.bso.org/profiles/sheila-fiekowsky","Second Violins","FALSE"
"20","Boston Symphony Orchestra","Second Violins","Nicole Monahan","https://www.bso.org/profiles/nicole-monahan","Second Violins","FALSE"
"21","Boston Symphony Orchestra","Second Violins","Ronan Lefkowitz","https://www.bso.org/profiles/ronan-lefkowitz","Second Violins","FALSE"
"22","Boston Symphony Orchestra","Second Violins","Aza Raykhtsaum","https://www.bso.org/profiles/aza-raykhtsaum","Second Violins","FALSE"
"23","Boston Symphony Orchestra","Second Violins","Bonnie Bewick","https://www.bso.org/profiles/bonnie-bewick","Second Violins","FALSE"
"24","Boston Symphony Orchestra","Second Violins","James Cooke","https://www.bso.org/profiles/james-cooke","Second Violins","FALSE"
"25","Boston Symphony Orchestra","Second Violins","Victor Romanul","https://www.bso.org/profiles/victor-romanul","Second Violins","FALSE"
"26","Boston Symphony Orchestra","Second Violins","Catherine French","https://www.bso.org/profiles/catherine-french","Second Violins","FALSE"
"27","Boston Symphony Orchestra","Second Violins","Jason Horowitz","https://www.bso.org/profiles/jason-horowitz","Second Violins","FALSE"
"28","Boston Symphony Orchestra","Second Violins","Ala Jojatu","https://www.bso.org/profiles/ala-jojatu","Second Violins","FALSE"
"29","Boston Symphony Orchestra","Second Violins","Bracha Malkin","https://www.bso.org/profiles/bracha-malkin","Second Violins","FALSE"
"30","Boston Symphony Orchestra","Violas","Steven Ansell","https://www.bso.org/profiles/steven-ansell","Principal","TRUE"
"31","Boston Symphony Orchestra","Violas","Cathy Basrak","https://www.bso.org/profiles/cathy-basrak","Assistant Principal","TRUE"
"32","Boston Symphony Orchestra","Violas","Danny Kim","https://www.bso.org/profiles/danny-kim","Violas","FALSE"
"33","Boston Symphony Orchestra","Violas","Rebecca Gitter","https://www.bso.org/profiles/rebecca-gitter","Violas","FALSE"
