"","orchestra","section","name","title","link","isLead"
"1","Chicago Symphony Orchestra","First Violin","Robert Chen","Concertmaster","https://cso.org/about/performers/cso-musicians/strings/violin/robert-chen/","TRUE"
"2","Chicago Symphony Orchestra","First Violin","Stephanie Jeong","Associate Concertmaster","https://cso.org/about/performers/cso-musicians/strings/violin/stephanie-jeong/","TRUE"
"3","Chicago Symphony Orchestra","First Violin","David Taylor","Assistant Concertmaster","https://cso.org/about/performers/cso-musicians/strings/violin/david-taylor/","TRUE"
"4","Chicago Symphony Orchestra","First Violin","Yuan-Qing Yu","Assistant Concertmaster","https://cso.org/about/performers/cso-musicians/strings/violin/yuan-qing-yu/","TRUE"
"5","Chicago Symphony Orchestra","First Violin","So Young Bae","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/so-young-bae/","FALSE"
"6","Chicago Symphony Orchestra","First Violin","Cornelius Chiu","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/cornelius-chiu/","FALSE"
"7","Chicago Symphony Orchestra","First Violin","Alison Dalton","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/alison-dalton/","FALSE"
"8","Chicago Symphony Orchestra","First Violin","Gina DiBello","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/gina-dibello/","FALSE"
"9","Chicago Symphony Orchestra","First Violin","Kozue Funakoshi","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/kozue-funakoshi/","FALSE"
"10","Chicago Symphony Orchestra","First Violin","Russell Hershow","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/russell-hershow/","FALSE"
"11","Chicago Symphony Orchestra","First Violin","Qing Hou","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/qing-hou/","FALSE"
"12","Chicago Symphony Orchestra","First Violin","Matous Michal","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/matous-michal/","FALSE"
"13","Chicago Symphony Orchestra","First Violin","Simon Michal","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/simon-michal/","FALSE"
"14","Chicago Symphony Orchestra","First Violin","Blair Milton","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/blair-milton/","FALSE"
"15","Chicago Symphony Orchestra","First Violin","Sando Shia","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/sando-shia/","FALSE"
"16","Chicago Symphony Orchestra","First Violin","Susan Synnestvedt","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/susan-synnestvedt/","FALSE"
"17","Chicago Symphony Orchestra","First Violin","Rong-Yan Tang","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/rong-yan-tang/","FALSE"
"18","Chicago Symphony Orchestra","Second Violin","Baird Dodge","Principal Second Violin","https://cso.org/about/performers/cso-musicians/strings/violin/baird-dodge/","TRUE"
"19","Chicago Symphony Orchestra","Second Violin","Lei Hou","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/lei-hou/","FALSE"
"20","Chicago Symphony Orchestra","Second Violin","Ni Mei","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/ni-mei/","FALSE"
"21","Chicago Symphony Orchestra","Second Violin","Fox Fehling","Violin","https://cso.org/about/performers/cso-musicians/strings/violin/fox-fehling/","FALSE"
