"","orchestra","section","name","link","title","isLead"
"1","Cincinnati Symphony Orchestra","First Violin","Stefani Matsuo","https://www.cincinnatisymphony.org/about/the-orchestra/stefani-matsuo/","Concertmaster, Violin","TRUE"
"2","Cincinnati Symphony Orchestra","First Violin","Charles Morey","https://www.cincinnatisymphony.org/about/the-orchestra/charles-morey/","Acting Associate Concertmaster, Violin","TRUE"
"3","Cincinnati Symphony Orchestra","First Violin","Philip Marten","https://www.cincinnatisymphony.org/about/the-orchestra/philip-marten/","First Assistant Concertmaster, Violin","TRUE"
"4","Cincinnati Symphony Orchestra","First Violin","Eric Bates","https://www.cincinnatisymphony.org/about/the-orchestra/eric-bates/","Second Assistant Concertmaster, Violin","TRUE"
"5","Cincinnati Symphony Orchestra","Violin","Kathryn Woolley","https://www.cincinnatisymphony.org/about/the-orchestra/kathryn-woolley/","Violin","FALSE"
"6","Cincinnati Symphony Orchestra","Violin","Anna Reider","https://www.cincinnatisymphony.org/about/the-orchestra/anna-reider/","Violin","FALSE"
"7","Cincinnati Symphony Orchestra","Violin","Mauricio Aguiar","https://www.cincinnatisymphony.org/about/the-orchestra/mauricio-aguiar/","Violin","FALSE"
"8","Cincinnati Symphony Orchestra","Violin","Minyoung Baik","https://www.cincinnatisymphony.org/about/the-orchestra/minyoung-baik/","Violin","FALSE"
"9","Cincinnati Symphony Orchestra","Violin","James Braid","https://www.cincinnatisymphony.org/about/the-orchestra/james-braid/","Violin","FALSE"
"10","Cincinnati Symphony Orchestra","Violin","Michelle Edgar Dugan","https://www.cincinnatisymphony.org/about/the-orchestra/michelle-dugan/","Violin","FALSE"
"11","Cincinnati Symphony Orchestra","Violin","Rebecca Kruger Fryxell","https://www.cincinnatisymphony.org/about/the-orchestra/rebecca-kruger-fryxell/","Violin","FALSE"
"12","Cincinnati Symphony Orchestra","Violin","Gerald Itzkoff","https://www.cincinnatisymphony.org/about/the-orchestra/gerry-itzkoff/","Violin","FALSE"
"13","Cincinnati Symphony Orchestra","Violin","Lois Reid Johnson","https://www.cincinnatisymphony.org/about/the-orchestra/lois-reid-johnson/","Violin","FALSE"
"14","Cincinnati Symphony Orchestra","Violin","Sylvia Mitchell","https://www.cincinnatisymphony.org/about/the-orchestra/sylvia-mitchell/","Violin","FALSE"
