"","orchestra","section","name","link","title","isLead"
"1","Dallas Symphony Orchestra","Violin I","Alexander Kerr","https://www.dallassymphony.org/people/alexander-kerr/","Concertmaster","TRUE"
"2","Dallas Symphony Orchestra","Violin I","Nathan Olson","https://www.dallassymphony.org/people/nathan-olson/","Co-concertmaster","FALSE"
"3","Dallas Symphony Orchestra","Violin I","Gary Levinson","https://www.dallassymphony.org/people/gary-levinson/","Senior Principal Associate Concertmaster","TRUE"
"4","Dallas Symphony Orchestra","Violin I","Emmanuelle Boisvert","https://www.dallassymphony.org/people/emmanuelle-boisvert/","Associate Concertmaster","TRUE"
"5","Dallas Symphony Orchestra","Violin I","Eunice Keem","https://www.dallassymphony.org/people/eunice-keem/","Associate Concertmaster","TRUE"
"6","Dallas Symphony Orchestra","Violin I","Diane Kitzman","https://www.dallassymphony.org/people/diane-kitzman/","Principal Violin","TRUE"
"7","Dallas Symphony Orchestra","Violin I","Filip Fenrych","https://www.dallassymphony.org/people/filip-fenrych/","Violin","FALSE"
"8","Dallas Symphony Orchestra","Violin I","Maria Schleuning","https://www.dallassymphony.org/people/maria-schleuning/","Violin","FALSE"
"9","Dallas Symphony Orchestra","Violin I","Lucas Aleman","https://www.dallassymphony.org/people/lucas-aleman/","Violin","FALSE"
"10","Dallas Symphony Orchestra","Violin I","Jenna Barghouti","https://www.dallassymphony.org/people/jenna-barghouti/","Violin","FALSE"
"11","Dallas Symphony Orchestra","Violin I","Mary Reynolds","https://www.dallassymphony.org/people/mary-reynolds/","Violin","FALSE"
"12","Dallas Symphony Orchestra","Violin I","Andrew Schast","https://www.dallassymphony.org/people/andrew-schast/","Violin","FALSE"
"13","Dallas Symphony Orchestra","Violin I","Daphne Volle","https://www.dallassymphony.org/people/daphne-volle/","Violin","FALSE"
"14","Dallas Symphony Orchestra","Violin I","Bruce Wittrig","https://www.dallassymphony.org/people/bruce-wittrig/","Violin","FALSE"
"15","Dallas Symphony Orchestra","Violin I","Giyeon Yoon","https://www.dallassymphony.org/people/giyeon-yoon/","Violin","FALSE"
"16","Dallas Symphony Orchestra","Violin I","Kaori Yoshida","https://www.dallassymphony.org/people/kaori-yoshida/","Violin I & II","FALSE"
"17","Dallas Symphony Orchestra","Violin II","Angela Fuller Heyde","https://www.dallassymphony.org/people/angela-fuller-heyde/","Principal Second Violin","TRUE"
"18","Dallas Symphony Orchestra","Violin II","Alexandra Adkins","https://www.dallassymphony.org/people/alexandra-adkins/","Associate Principal Second Violin","TRUE"
"19","Dallas Symphony Orchestra","Violin II","Sho-Mei Pelletier","https://www.dallassymphony.org/people/sho-mei-pelletier/","Associate Principal Second Violin","TRUE"
"20","Dallas Symphony Orchestra","Violin II","Bing Wang","https://www.dallassymphony.org/people/bing-wang/","Violin","FALSE"
"21","Dallas Symphony Orchestra","Violin II","Bruce Patti","https://www.dallassymphony.org/people/bruce-patti/","Violin I & II","FALSE"
"22","Dallas Symphony Orchestra","Violin II","Mariana Cottier-Bucco","https://www.dallassymphony.org/people/mariana-cottier-bucco/","Violin","FALSE"
"23","Dallas Symphony Orchestra","Violin II","Lilit Danielyan","https://www.dallassymphony.org/people/lilit-danielyan/","Violin I & II","FALSE"
"24","Dallas Symphony Orchestra","Violin II","Shu Lee","https://www.dallassymphony.org/people/shu-lee/","Violin","FALSE"
"25","Dallas Symphony Orchestra","Violin II","Nora Scheller","https://www.dallassymphony.org/people/nora-scheller/","Violin I & II","FALSE"
"26","Dallas Symphony Orchestra","Violin II","Aleksandr Snytkin","https://www.dallassymphony.org/people/aleksandr-snytkin/","Violin I & II","FALSE"
"27","Dallas Symphony Orchestra","Violin II","Lydia Umlauf","https://www.dallassymphony.org/people/lydia-umlauf/","Violin","FALSE"
"28","Dallas Symphony Orchestra","Violin II","Hyorim Han","https://www.dallassymphony.org/people/hyorim-han/","Violin","FALSE"
"29","Dallas Symphony Orchestra","Viola","Meredith Kufchak","https://www.dallassymphony.org/people/meredith-kufchak/","Principal Viola","TRUE"
"30","Dallas Symphony Orchestra","Viola","Matthew Sinno","https://www.dallassymphony.org/people/matthew-sinno/","Associate Principal Viola","TRUE"
"31","Dallas Symphony Orchestra","Viola","Sarah Kienle","https://www.dallassymphony.org/people/sarah-kienle/","Acting Associate Principal Viola","TRUE"
"32","Dallas Symphony Orchestra","Viola","Pamela Askew","https://www.dallassymphony.org/people/pamela-askew/","Viola","FALSE"
"33","Dallas Symphony Orchestra","Viola","Thomas Demer","https://www.dallassymphony.org/people/thomas-demer/","Viola","FALSE"
"34","Dallas Symphony Orchestra","Viola","Valerie Dimond","https://www.dallassymphony.org/people/valerie-dimond/","Viola","FALSE"
"35","Dallas Symphony Orchestra","Viola","Christine Hwang","https://www.dallassymphony.org/people/christine-hwang/","Viola","FALSE"
"36","Dallas Symphony Orchestra","Viola","Xiaohan Sun","https://www.dallassymphony.org/people/xiaohan-sun/","Viola","FALSE"
"37","Dallas Symphony Orchestra","Viola","David Sywak","https://www.dallassymphony.org/people/david-sywak/","Viola","FALSE"
"38","Dallas Symphony Orchestra","Viola","Dan Wang","https://www.dallassymphony.org/people/dan-wang/","Viola","FALSE"
"39","Dallas Symphony Orchestra","Cello","Christopher Adkins","https://www.dallassymphony.org/people/christopher-adkins/","Principal Cello","TRUE"
"40","Dallas Symphony Orchestra","Cello","Theodore Harvey","https://www.dallassymphony.org/people/theodore-harvey/","Associate Principal Cello","TRUE"
"41","Dallas Symphony Orchestra","Cello","Jolyon Pegis","https://www.dallassymphony.org/people/jolyon-pegis/","Associate Principal Cello","TRUE"
"42","Dallas Symphony Orchestra","Cello","Jeffrey Hood","https://www.dallassymphony.org/people/jeffrey-hood/"," ","FALSE"
"43","Dallas Symphony Orchestra","Cello","Jennifer Yunyoung Choi","https://www.dallassymphony.org/people/jennifer-choi/","Cello","FALSE"
"44","Dallas Symphony Orchestra","Cello","Kari Kettering","https://www.dallassymphony.org/people/kari-kettering/","Cello","FALSE"
"45","Dallas Symphony Orchestra","Cello","Nan Zhang","https://www.dallassymphony.org/people/nan-zhang/","Cello","FALSE"
"46","Dallas Symphony Orchestra","Bass","Nicolas Tsolainos","https://www.dallassymphony.org/people/nicolas-tsolainos/","Cello","FALSE"
"47","Dallas Symphony Orchestra","Bass","Thomas Lederer","https://www.dallassymphony.org/people/thomas-lederer/","Principal Bass","TRUE"
"48","Dallas Symphony Orchestra","Bass","Roger Fratena","https://www.dallassymphony.org/people/roger-fratena/","Co-principal Bass","FALSE"
"49","Dallas Symphony Orchestra","Bass","Paula Holmes Fleming","https://www.dallassymphony.org/people/paula-holmes-fleming/","Associate Principal Bass","TRUE"
"50","Dallas Symphony Orchestra","Bass","Brian Perry","https://www.dallassymphony.org/people/brian-perry/","Bass","FALSE"
"51","Dallas Symphony Orchestra","Bass","Clifford Spohr","https://www.dallassymphony.org/people/clifford-spohr/","Bass","FALSE"
"52","Dallas Symphony Orchestra","Woodwind","Deborah Baron","https://www.dallassymphony.org/people/deborah-baron/","Principal Flute","TRUE"
"53","Dallas Symphony Orchestra","Woodwind","Kara Kirkendoll Welch","https://www.dallassymphony.org/people/kara-kirkendoll-welch/","Associate Principal Flute + Piccolo","TRUE"
"54","Dallas Symphony Orchestra","Woodwind","Erin Hannigan","https://www.dallassymphony.org/people/erin-hannigan/","Flute","FALSE"
"55","Dallas Symphony Orchestra","Woodwind","Willa Henigman","https://www.dallassymphony.org/people/willa-henigman/","Principal Oboe","TRUE"
"56","Dallas Symphony Orchestra","Woodwind","Brent Ross","https://www.dallassymphony.org/people/brent-ross/","Associate Principal Oboe","TRUE"
"57","Dallas Symphony Orchestra","Woodwind","David Matthews","https://www.dallassymphony.org/people/david-matthews/","Oboe","FALSE"
"58","Dallas Symphony Orchestra","Woodwind","Gregory Raden","https://www.dallassymphony.org/people/gregory-raden/","Oboe + English Horn","FALSE"
"59","Dallas Symphony Orchestra","Woodwind","Paul Garner","https://www.dallassymphony.org/people/paul-garner/","Principal Clarinet","TRUE"
"60","Dallas Symphony Orchestra","Woodwind","Stephen Ahearn","https://www.dallassymphony.org/people/stephen-ahearn/","|On Leave|","FALSE"
