"","orchestra","section","name","link","title","isLead"
"1","Detroit Symphony Orchestra","Violin","Kimberly Kaloyanides Kennedy","/about-the-dso/our-orchestra/strings/first-violin/kimberly-kaloyanides-kennedy","Acting Concertmaster","TRUE"
"2","Detroit Symphony Orchestra","Violin","Hai-Xin Wu","/about-the-dso/our-orchestra/strings/first-violin/hai-xin-wu","Acting Associate Concertmaster","TRUE"
"3","Detroit Symphony Orchestra","Violin","Jennifer Wey Fang","/about-the-dso/our-orchestra/strings/first-violin/jennifer-wey-fang","Assistant Concertmaster","TRUE"
"4","Detroit Symphony Orchestra","First Violin","Marguerite Deslippe","/about-the-dso/our-orchestra/strings/first-violin/marguerite-deslippe","First Violin","FALSE"
"5","Detroit Symphony Orchestra","Violin","Laurie Goldman","/about-the-dso/our-orchestra/strings/first-violin/laurie-goldman","First Violin","FALSE"
"6","Detroit Symphony Orchestra","First Violin","Rachel Harding Klaus","/about-the-dso/our-orchestra/strings/first-violin/rachel-harding-klaus","First Violin","FALSE"
"7","Detroit Symphony Orchestra","Violin","Eun Park Lee","/about-the-dso/our-orchestra/strings/first-violin/eun-park-lee","First Violin","FALSE"
"8","Detroit Symphony Orchestra","First Violin","Adrienne Rönmark","/about-the-dso/our-orchestra/strings/first-violin/adrienne-ronmark","First Violin","FALSE"
"9","Detroit Symphony Orchestra","First Violin","Laura Soto","/about-the-dso/our-orchestra/strings/first-violin/laura-soto","First Violin","FALSE"
"10","Detroit Symphony Orchestra","First Violin","Greg Staples","/about-the-dso/our-orchestra/strings/first-violin/greg-staples","First Violin","FALSE"
"11","Detroit Symphony Orchestra","Violin","Jiamin Wang","/about-the-dso/our-orchestra/strings/first-violin/jiamin-wang","First Violin","FALSE"
"12","Detroit Symphony Orchestra","violin","Mingzhao Zhou","/about-the-dso/our-orchestra/strings/first-violin/mingzhao-zhou","First Violin","FALSE"
