"","orchestra","section","name","link","title","isLead"
"1","Indianapolis Symphony Orchestra","First Violin","Kevin Lin","https://www.indianapolissymphony.org/profile/kevin-lin/","Concertmaster","TRUE"
"2","Indianapolis Symphony Orchestra","First Violin","Philip Palermo","https://www.indianapolissymphony.org/profile/philip-palermo/","Associate Concertmaster","TRUE"
"3","Indianapolis Symphony Orchestra","First Violin","Peter Vickery","https://www.indianapolissymphony.org/profile/peter-vickery/","Assistant Concertmaster","TRUE"
"4","Indianapolis Symphony Orchestra","First Violin","Michelle Kang","https://www.indianapolissymphony.org/profile/michelle-kang/","Assistant Concertmaster","TRUE"
"5","Indianapolis Symphony Orchestra","First Violin","Michelle Black","https://www.indianapolissymphony.org/profile/michelle-black/","First Violin","FALSE"
"6","Indianapolis Symphony Orchestra","First Violin","Sophia Cho","https://www.indianapolissymphony.org/profile/sophia-cho/","First Violin","FALSE"
"7","Indianapolis Symphony Orchestra","First Violin","Anna Czerniak",NA,"First Violin","FALSE"
"8","Indianapolis Symphony Orchestra","First Violin","Sherry Hong","https://www.indianapolissymphony.org/profile/sherry-hong/","First Violin","FALSE"
"9","Indianapolis Symphony Orchestra","First Violin","Dianna Joiner",NA,"First Violin","FALSE"
"10","Indianapolis Symphony Orchestra","First Violin","Vincent Meklis","https://www.indianapolissymphony.org/profile/vincent-meklis/","First Violin","FALSE"
"11","Indianapolis Symphony Orchestra","First Violin","Maria Semes",NA,"First Violin","FALSE"
"12","Indianapolis Symphony Orchestra","First Violin","Wei Wei","https://www.indianapolissymphony.org/profile/wei-wei/","First Violin","FALSE"
"13","Indianapolis Symphony Orchestra","First Violin","Hán Xiè","https://www.indianapolissymphony.org/profile/han-xie/","First Violin","FALSE"
"14","Indianapolis Symphony Orchestra","Second Violin","Mary Anne Dell’Aquila","https://www.indianapolissymphony.org/profile/mary-anne-dellaquila/","Acting Principal","TRUE"
"15","Indianapolis Symphony Orchestra","Second Violin","Jennifer Farquhar","https://www.indianapolissymphony.org/profile/jennifer-farquhar/","Acting Assistant Principal","TRUE"
"16","Indianapolis Symphony Orchestra","Second Violin","Melissa Deal","https://www.indianapolissymphony.org/profile/melissa-deal/","Second Violin","FALSE"
"17","Indianapolis Symphony Orchestra","Second Violin","Victoria Kintner","https://www.indianapolissymphony.org/profile/victoria-griswold/","Second Violin","FALSE"
"18","Indianapolis Symphony Orchestra","Second Violin","Hua Jin","https://www.indianapolissymphony.org/profile/hua-jin/","Second Violin","FALSE"
"19","Indianapolis Symphony Orchestra","Second Violin","Joseph Ohkubo",NA,"Second Violin","FALSE"
"20","Indianapolis Symphony Orchestra","Second Violin","Jayna Park","https://www.indianapolissymphony.org/profile/jayna-park/","Second Violin","FALSE"
"21","Indianapolis Symphony Orchestra","Second Violin","Lisa Scott","https://www.indianapolissymphony.org/profile/lisa-scott/","Second Violin","FALSE"
"22","Indianapolis Symphony Orchestra","Second Violin","Byul (Bella) Seo",NA,"Second Violin","FALSE"
"23","Indianapolis Symphony Orchestra","Second Violin","Linda Yu-Picard",NA,"Second Violin","FALSE"
"24","Indianapolis Symphony Orchestra","Viola","Yu Jin","https://www.indianapolissymphony.org/profile/yu-jin/","Principal","TRUE"
