"","orchestra","section","name","link","title","isLead"
"1","Kansas City Symphony","First Violin","Sunho Kim","https://www.kcsymphony.org/musician/sunho-kim/","Acting Concertmaster","TRUE"
"2","Kansas City Symphony","First Violin","Stirling Trent","https://www.kcsymphony.org/musician/stirling-trent/","Acting Associate Concertmaster","TRUE"
"3","Kansas City Symphony","First Violin","Chiafei Lin","https://www.kcsymphony.org/musician/chia-fei-lin/","Acting Assistant Concertmaster","TRUE"
"4","Kansas City Symphony","First Violin","Anne-Marie Brown","https://www.kcsymphony.org/musician/anne-marie-brown/","First Violin","FALSE"
"5","Kansas City Symphony","First Violin","Betty Chen","https://www.kcsymphony.org/musician/betty-chen/","First Violin","FALSE"
"6","Kansas City Symphony","First Violin","Anthony DeMarco","https://www.kcsymphony.org/musician/anthony-demarco/","First Violin","FALSE"
"7","Kansas City Symphony","First Violin","Susan Goldenberg","https://www.kcsymphony.org/musician/susan-goldenberg/","First Violin","FALSE"
"8","Kansas City Symphony","First Violin","Tomoko Iguchi","https://www.kcsymphony.org/musician/tomoko-iguchi/","First Violin","FALSE"
"9","Kansas City Symphony","First Violin","Dorris Dai Janssen","https://www.kcsymphony.org/musician/dorris-dai-janssen/","First Violin","FALSE"
"10","Kansas City Symphony","First Violin","Filip Lazovski","https://www.kcsymphony.org/?post_type=musician&p=692","First Violin","FALSE"
"11","Kansas City Symphony","First Violin","Vladimir Rykov","https://www.kcsymphony.org/musician/vladimir-rykov/","First Violin","FALSE"
"12","Kansas City Symphony","First Violin","Rachel Sandman","https://www.kcsymphony.org/musician/rachel-sandman/","First Violin","FALSE"
"13","Kansas City Symphony","First Violin","Alex Shum","https://www.kcsymphony.org/musician/alex-shum/","First Violin","FALSE"
"14","Kansas City Symphony","Second Violin","Tamamo Someya Gibbs","https://www.kcsymphony.org/musician/tamamo-gibbs/","Principal Second Violin","TRUE"
"15","Kansas City Symphony","Second Violin","Kristin Velicer","https://www.kcsymphony.org/musician/kristin-velicer/","Acting Associate Principal Second Violin","TRUE"
