"","orchestra","section","name","link","title","isLead"
"1","Los Angeles Philharmonic","First Violins","Martin Chalifour","https://www.laphil.com/musicdb/artists/1027/martin-chalifour","Principal Concertmaster","TRUE"
"2","Los Angeles Philharmonic","First Violins","Nathan Cole","https://www.laphil.com/musicdb/artists/1181/nathan-cole","First Associate Concertmaster","TRUE"
"3","Los Angeles Philharmonic","First Violins","Bing Wang","https://www.laphil.com/musicdb/artists/5602/bing-wang","Associate Concertmaster","TRUE"
"4","Los Angeles Philharmonic","First Violins","Akiko Tarumoto","https://www.laphil.com/musicdb/artists/5170/akiko-tarumoto","Assistant Concertmaster","TRUE"
"5","Los Angeles Philharmonic","First Violins","Rebecca Reale","https://www.laphil.com/musicdb/artists/6002/rebecca-reale","First Violins","FALSE"
"6","Los Angeles Philharmonic","First Violins","Michele Bovyer","https://www.laphil.com/musicdb/artists/769/michele-bovyer","First Violins","FALSE"
"7","Los Angeles Philharmonic","First Violins","Rochelle Abramson","https://www.laphil.com/musicdb/artists/189/rochelle-abramson","First Violins","FALSE"
"8","Los Angeles Philharmonic","First Violins","Camille Avellano","https://www.laphil.com/musicdb/artists/400/camille-avellano","First Violins","FALSE"
"9","Los Angeles Philharmonic","First Violins","Minyoung Chang","https://www.laphil.com/musicdb/artists/1039/minyoung-chang","First Violins","FALSE"
"10","Los Angeles Philharmonic","First Violins","Miika Gregg","https://www.laphil.com/musicdb/artists/2146/miika-gregg","First Violins","FALSE"
"11","Los Angeles Philharmonic","First Violins","Tianyun Jia","https://www.laphil.com/musicdb/artists/6037/tianyun-jia","First Violins","FALSE"
"12","Los Angeles Philharmonic","First Violins","Jordan Koransky","https://www.laphil.com/musicdb/artists/7221/jordan-koransky","First Violins","FALSE"
"13","Los Angeles Philharmonic","First Violins","Mischa Lefkowitz","https://www.laphil.com/musicdb/artists/3074/mischa-lefkowitz","First Violins","FALSE"
"14","Los Angeles Philharmonic","First Violins","Edith Markman","https://www.laphil.com/musicdb/artists/3385/edith-markman","First Violins","FALSE"
"15","Los Angeles Philharmonic","First Violins","Ashley Park","https://www.laphil.com/musicdb/artists/8271/ashley-park","First Violins","FALSE"
"16","Los Angeles Philharmonic","First Violins","Stacy Wetzel","https://www.laphil.com/musicdb/artists/5672/stacy-wetzel","First Violins","FALSE"
"17","Los Angeles Philharmonic","First Violins","Justin Woo","https://www.laphil.com/musicdb/artists/7220/justin-woo","First Violins","FALSE"
"18","Los Angeles Philharmonic","Second Violins","Lyndon Johnston Taylor","https://www.laphil.com/musicdb/artists/5189/lyndon-johnston-taylor","Principal","TRUE"
