"","orchestra","section","name","link","title","isLead"
"1","Milwaukee Symphony Orchestra","First Violin","Ilana Setapen","https://www.mso.org/about/orchestra/musician_detail/ilana-setapen/","Acting Concertmaster","TRUE"
"2","Milwaukee Symphony Orchestra","First Violin","Jeanyi Kim","https://www.mso.org/about/orchestra/musician_detail/jeanyi-kim-2/","First Violin","FALSE"
"3","Milwaukee Symphony Orchestra","First Violin","Chi Li","https://www.mso.org/about/orchestra/musician_detail/chi-li/","Acting Assistant Concertmaster
              ","TRUE"
"4","Milwaukee Symphony Orchestra","First Violin","Alexander Ayers","https://www.mso.org/about/orchestra/musician_detail/alexander-ayers/","First Violin","FALSE"
"5","Milwaukee Symphony Orchestra","First Violin","Michael Giacobassi","https://www.mso.org/about/orchestra/musician_detail/michael-giacobassi/","First Violin","FALSE"
"6","Milwaukee Symphony Orchestra","First Violin","Yuka Kadota","https://www.mso.org/about/orchestra/musician_detail/yuka-kadota/","First Violin","FALSE"
"7","Milwaukee Symphony Orchestra","First Violin","Dylana Leung","https://www.mso.org/about/orchestra/musician_detail/dylana-leung/","First Violin","FALSE"
"8","Milwaukee Symphony Orchestra","First Violin","Lijia Phang","https://www.mso.org/about/orchestra/musician_detail/lijia-phang/","First Violin","FALSE"
"9","Milwaukee Symphony Orchestra","First Violin","Margot Schwartz","https://www.mso.org/about/orchestra/musician_detail/margot-schwartz/","First Violin","FALSE"
"10","Milwaukee Symphony Orchestra","Second Violin","Jennifer Startt","https://www.mso.org/about/orchestra/musician_detail/jennifer-startt/","Principal","TRUE"
"11","Milwaukee Symphony Orchestra","Second Violin","Timothy Klabunde","https://www.mso.org/about/orchestra/musician_detail/timothy-klabunde/","Assistant Principal
              ","TRUE"
"12","Milwaukee Symphony Orchestra","Second Violin","Glenn Asch","https://www.mso.org/about/orchestra/musician_detail/glenn-asch/","Second Violin","FALSE"
"13","Milwaukee Symphony Orchestra","Second Violin","John Bian","https://www.mso.org/about/orchestra/musician_detail/john-bian/","Second Violin","FALSE"
"14","Milwaukee Symphony Orchestra","Second Violin","Lisa Johnson Fuller","https://www.mso.org/about/orchestra/musician_detail/lisa-johnson-fuller/","Second Violin","FALSE"
"15","Milwaukee Symphony Orchestra","Second Violin","Paul Hauer","https://www.mso.org/about/orchestra/musician_detail/paul-hauer/","Second Violin","FALSE"
"16","Milwaukee Symphony Orchestra","Second Violin","Hyewon Kim","https://www.mso.org/about/orchestra/musician_detail/hyewon-kim/","Second Violin","FALSE"
"17","Milwaukee Symphony Orchestra","Second Violin","Shengnan Li","https://www.mso.org/about/orchestra/musician_detail/shengnan-li/","Second Violin","FALSE"
"18","Milwaukee Symphony Orchestra","Second Violin","Laurie Shawger","https://www.mso.org/about/orchestra/musician_detail/laurie-shawger/","Second Violin","FALSE"
"19","Milwaukee Symphony Orchestra","Second Violin","Mary Terranova","https://www.mso.org/about/orchestra/musician_detail/mary-terranova/","Second Violin","FALSE"
"20","Milwaukee Symphony Orchestra","Viola","Robert Levine","https://www.mso.org/about/orchestra/musician_detail/robert-levine/","Principal","TRUE"
"21","Milwaukee Symphony Orchestra","Viola","Samantha Rodriguez","https://www.mso.org/about/orchestra/musician_detail/samantha-rodriguez/","Acting Assistant Principal","TRUE"
"22","Milwaukee Symphony Orchestra","Viola","Alejandro Duque","https://www.mso.org/about/orchestra/musician_detail/alejandro-duque/","Viola","FALSE"
"23","Milwaukee Symphony Orchestra","Viola","Elizabeth Breslin","https://www.mso.org/about/orchestra/musician_detail/elizabeth-breslin/","Viola","FALSE"
"24","Milwaukee Symphony Orchestra","Viola","Nathan Hackett","https://www.mso.org/about/orchestra/musician_detail/nathan-hackett/","Viola","FALSE"
"25","Milwaukee Symphony Orchestra","Viola","Erin H. Pipal","https://www.mso.org/about/orchestra/musician_detail/erin-h-pipal/","Viola","FALSE"
"26","Milwaukee Symphony Orchestra","Viola","Helen Reich","https://www.mso.org/about/orchestra/musician_detail/helen-reich/","Viola","FALSE"
"27","Milwaukee Symphony Orchestra","Cello","Susan Babini","https://www.mso.org/about/orchestra/musician_detail/susan-babini/","Principal","TRUE"
"28","Milwaukee Symphony Orchestra","Cello","Nicholas Mariscal","https://www.mso.org/about/orchestra/musician_detail/nicholas-mariscal/","Assistant Principal
              ","TRUE"
"29","Milwaukee Symphony Orchestra","Cello","Scott Tisdel","https://www.mso.org/about/orchestra/musician_detail/scott-tisdel/","Associate Principal Emeritus
              ","TRUE"
"30","Milwaukee Symphony Orchestra","Cello","Madeleine Kabat","https://www.mso.org/about/orchestra/musician_detail/madeleine-kabat/","Cello","FALSE"
"31","Milwaukee Symphony Orchestra","Cello","Gregory Mathews","https://www.mso.org/about/orchestra/musician_detail/gregory-mathews/","Cello","FALSE"
