"","orchestra","section","name","link","title","isLead"
"1","Minnesota Orchestra","Viola","Rebecca Albers","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/rebecca-albers/","Principal Viola, Reine H. Myers Chair","TRUE"
"2","Minnesota Orchestra","Cello","Silver Ainomäe","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/silver-ainomaee/","Associate Principal Cello, John and Barbara Sibley Boatwright Chair","TRUE"
"3","Minnesota Orchestra","First Violin","Pamela Arnstein","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/pamela-arnstein/","First Violin","FALSE"
"4","Minnesota Orchestra","Bass","Robert Anderson","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/robert-anderson/","Bass","FALSE"
"5","Minnesota Orchestra","Timpani/Percussion","Jason Arkis","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/jason-arkis/","Associate Principal Timpani, Associate Principal Percussion, Opus Chair","TRUE"
"6","Minnesota Orchestra","Second Violin","Cecilia Belcher","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/cecilia-belcher/","Acting Associate Principal Second Violin ","TRUE"
"7","Minnesota Orchestra","Viola","Sam Bergman","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/sam-bergman/","viola","FALSE"
"8","Minnesota Orchestra","First Violin","David Brubaker","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/dave-brubaker/","First Violin","FALSE"
"9","Minnesota Orchestra","Bass","Kristen Bruya","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/kristen-bruya/","Principal Bass, Jay Phillips Chair","TRUE"
"10","Minnesota Orchestra","Bass Trombone","Andrew Chappell","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/andrew-chappell/","Bass Trombone","FALSE"
"11","Minnesota Orchestra","Second Violin","Taichi Chen","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/taichi-chen/","Second Violin","FALSE"
"12","Minnesota Orchestra","Cello","Minji Choi","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/minji-choi/","Cello","FALSE"
"13","Minnesota Orchestra","Tuba","Steven  Campbell","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/steven-campbell/","Principal Tuba, Robert Machray Ward Chair","TRUE"
"14","Minnesota Orchestra","Viola","Sifei Cheng","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/sifei-cheng/","Viola","FALSE"
"15","Minnesota Orchestra","First Violin","Rebecca Corruccini","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/rebecca-corruccini/","First Violin","FALSE"
"16","Minnesota Orchestra","First Violin","Helen Chang Haertzen","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/helen-chang-haertzen/","First Violin","FALSE"
"17","Minnesota Orchestra","Clarinet","Gabriel Campos Zamora","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/gabriel-campos-zamora/","Principal Clarinet, I.A. O'Shaughnessy Chair","TRUE"
"19","Minnesota Orchestra","Trumpet","Douglas C.  Carlsen","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/douglas-c-carlsen/","Associate Principal Trumpet, Rudolph W. and Gladys Davis Miller Chair","TRUE"
"20","Minnesota Orchestra","First Violin","Rui Du","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/rui-du/","Assistant Concertmaster, Loring M. Staples, Sr., Chair","TRUE"
"21","Minnesota Orchestra","Flute/Piccolo","Roma Duncan","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/roma-duncan/","Flute and Piccolo, Alene M. Grossman Chair","FALSE"
"22","Minnesota Orchestra","Horn","Ellen Dinwiddie Smith","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/ellen-dinwiddie-smith/","Horn","FALSE"
"23","Minnesota Orchestra","Trumpet","Robert Dorer","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/robert-dorer/","Trumpet","FALSE"
"24","Minnesota Orchestra","First Violin","Milana Elise Reiche","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/milana-elise-reiche/","First Violin","FALSE"
"25","Minnesota Orchestra","Viola","Kenneth  Freed","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/kenneth-freed/","Viola","FALSE"
"26","Minnesota Orchestra","Bass","Matthew Frischman","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/matthew-frischman/","Bass","FALSE"
"27","Minnesota Orchestra","Bass Trombone","Lovrick Gary","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/lovrick-gary/","Bass Trombone, Rosemary and David Good Fellow","FALSE"
"28","Minnesota Orchestra","First Violin","Sarah Grimes","https://www.minnesotaorchestra.org/about/our-people/orchestra-musicians/sarah-grimes/","First Violin","FALSE"
