"","orchestra","section","name","link","title","isLead"
"1","Nashville Symphony","First Violin","Jun Iwasaki","https://www.nashvillesymphony.org/about/orchestra-conductors/jun-iwasaki/","Concertmaster","TRUE"
"2","Nashville Symphony","First Violin","Erin Hall","https://www.nashvillesymphony.org/about/orchestra-conductors/erin-hall/","Acting Associate Concertmaster","TRUE"
"3","Nashville Symphony","First Violin","Gerald C. Greer","https://www.nashvillesymphony.org/about/orchestra-conductors/gerald-c-greer/","Acting Assistant Concertmaster","TRUE"
"4","Nashville Symphony","First Violin","Kristi Seehafer","https://www.nashvillesymphony.org/about/orchestra-conductors/kristi-seehafer/","First Violin","FALSE"
"5","Nashville Symphony","First Violin","John Maple","https://www.nashvillesymphony.org/about/orchestra-conductors/john-maple/","First Violin","FALSE"
"6","Nashville Symphony","First Violin","Paul Tobias","https://www.nashvillesymphony.org/about/orchestra-conductors/paul-tobias/","First Violin","FALSE"
"7","Nashville Symphony","First Violin","Beverly Drukker","https://www.nashvillesymphony.org/about/orchestra-conductors/beverly-drukker/","First Violin","FALSE"
"8","Nashville Symphony","First Violin","Anna Lisa Hoepfinger","https://www.nashvillesymphony.org/about/orchestra-conductors/anna-lisa-hoepfinger/","First Violin","FALSE"
"9","Nashville Symphony","First Violin","Kirsten Mitchell","https://www.nashvillesymphony.org/about/orchestra-conductors/kirsten-mitchell/","First Violin","FALSE"
"10","Nashville Symphony","First Violin","Isabel Bartles",NA,"First Violin","FALSE"
"11","Nashville Symphony","First Violin","Charles Dixon",NA,"First Violin","FALSE"
"12","Nashville Symphony","First Violin","Eun Young Jung",NA,"First Violin","FALSE"
"13","Nashville Symphony","First Violin","Charissa Leung",NA,"First Violin","FALSE"
"14","Nashville Symphony","First Violin","Sarah Page",NA,"First Violin","FALSE"
"15","Nashville Symphony","Second Violin","Jung-Min Shin","https://www.nashvillesymphony.org/about/orchestra-conductors/jung-min-shin/","Acting Principal","TRUE"
"16","Nashville Symphony","Second Violin","Jimin Lim","https://www.nashvillesymphony.org/about/orchestra-conductors/jimin-lim/","Acting Assistant Principal","TRUE"
"17","Nashville Symphony","Second Violin","Amy Helman",NA,"Second Violin","FALSE"
"18","Nashville Symphony","Second Violin","Annaliese Kowert",NA,"Second Violin","FALSE"
"19","Nashville Symphony","Second Violin","Louise Morrison","https://www.nashvillesymphony.org/about/orchestra-conductors/louise-morrison/","Second Violin","FALSE"
"20","Nashville Symphony","Second Violin","Laura Ross","https://www.nashvillesymphony.org/about/orchestra-conductors/laura-ross/","Second Violin","FALSE"
"21","Nashville Symphony","Second Violin","Johna Smith","https://www.nashvillesymphony.org/about/orchestra-conductors/johna-bradley-smith/","Second Violin","FALSE"
"22","Nashville Symphony","Second Violin","Koko Watanabe",NA,"Second Violin","FALSE"
"23","Nashville Symphony","Second Violin","Jeremy Williams",NA,"Second Violin","FALSE"
"24","Nashville Symphony","Second Violin","Pei-Ju Wu",NA,"Second Violin","FALSE"
"25","Nashville Symphony","Viola","Daniel Reinker","https://www.nashvillesymphony.org/about/orchestra-conductors/daniel-reinker/","Principal","TRUE"
"26","Nashville Symphony","Viola","Shu-Zheng Yang","https://www.nashvillesymphony.org/about/orchestra-conductors/shu-zheng-yang/","Assistant Principal","TRUE"
"27","Nashville Symphony","Viola","Judith Ablon","https://www.nashvillesymphony.org/about/orchestra-conductors/judith-ablon/","Viola","FALSE"
"28","Nashville Symphony","Viola","Hari Bernstein","https://www.nashvillesymphony.org/about/orchestra-conductors/hari-bernstein/","Viola","FALSE"
"29","Nashville Symphony","Viola","Bruce Christensen","https://www.nashvillesymphony.org/about/orchestra-conductors/bruce-christensen/","Viola","FALSE"
