"","orchestra","section","name","link","title","isLead"
"1","National Symphony Orchestra","First Violins","Nurit Bar-Josef","https://www.kennedy-center.org/artists/b/ba-bn/nurit-bar-josef/","CONCERTMASTER","TRUE"
"2","National Symphony Orchestra","First Violins","Ying Fu","https://www.kennedy-center.org/artists/f/fo-fz/ying-fu/","Associate Concertmaster","TRUE"
"3","National Symphony Orchestra","First Violins","Ricardo Cyncynates","https://www.kennedy-center.org/artists/c/co-cz/ricardo-cyncynates/","Assistant Concertmaster","TRUE"
"4","National Symphony Orchestra","First Violins","Jane Bowyer Stewart","https://www.kennedy-center.org/artists/s/so-sz/jane-stewart/","First Violins","FALSE"
"5","National Symphony Orchestra","First Violins","Teri Hopkins Lee","https://www.kennedy-center.org/artists/l/la-ln/terihopkins-lee/","First Violins","FALSE"
"6","National Symphony Orchestra","First Violins","Pavel Pekarsky","https://www.kennedy-center.org/artists/p/pa-pn/pavel-pekarsky/","First Violins","FALSE"
"7","National Symphony Orchestra","First Violins","Heather LeDoux Green","https://www.kennedy-center.org/artists/l/la-ln/heather-ledoux-green/","First Violins","FALSE"
"8","National Symphony Orchestra","First Violins","Joel Fuller","https://www.kennedy-center.org/artists/f/fo-fz/joel-fuller/","First Violins","FALSE"
"9","National Symphony Orchestra","First Violins","Alexandra Osborne","https://www.kennedy-center.org/artists/o/oo-oz/alexandra-osborne/","First Violins","FALSE"
"10","National Symphony Orchestra","First Violins","Lisa-Beth Lambert","https://www.kennedy-center.org/artists/l/la-ln/lisa-beth-lambert/","First Violins","FALSE"
"11","National Symphony Orchestra","First Violins","Wanzhen Li","https://www.kennedy-center.org/artists/l/la-ln/wanzhen-li/","First Violins","FALSE"
"12","National Symphony Orchestra","First Violins","Jing Qiao","https://www.kennedy-center.org/artists/q/qa-qn/jing-qiao/","First Violins","FALSE"
"13","National Symphony Orchestra","Second Violins","Marissa Regni","https://www.kennedy-center.org/artists/r/ra-rn/marissa-regni/","Principal","TRUE"
"14","National Symphony Orchestra","Second Violins","Dayna Hepler","https://www.kennedy-center.org/artists/h/ha-hn/dayna-hepler/","Assistant Principal","TRUE"
"15","National Symphony Orchestra","Second Violins","Desimont Alston","https://www.kennedy-center.org/artists/a/aa-an/desimont-alston/","Second Violins","FALSE"
"16","National Symphony Orchestra","Second Violins","Cynthia R. Finks","https://www.kennedy-center.org/artists/f/fa-fn/cynthiar.-finks/","Second Violins","FALSE"
"17","National Symphony Orchestra","Second Violins","Deanna Lee Bien","https://www.kennedy-center.org/artists/b/ba-bn/deannalee-bien/","Second Violins","FALSE"
"18","National Symphony Orchestra","Second Violins","Glenn Donnellan","https://www.kennedy-center.org/artists/d/do-dz/glenn-donnellan/","Second Violins","FALSE"
"19","National Symphony Orchestra","Second Violins","Natasha Bogachek","https://www.kennedy-center.org/artists/b/bo-bz/natasha-bogachek/","Second Violins","FALSE"
"20","National Symphony Orchestra","Second Violins","Carole Tafoya Evans","https://www.kennedy-center.org/artists/e/eo-ez/carole-tafoya-evans/","Second Violins","FALSE"
"21","National Symphony Orchestra","Second Violins","Jae-Yeon Kim","https://www.kennedy-center.org/artists/k/ka-kn/jae-yeon-kim/","Second Violins","FALSE"
"22","National Symphony Orchestra","Second Violins","Hanna Lee","https://www.kennedy-center.org/artists/l/la-ln/hanna-lee/","Second Violins","FALSE"
"23","National Symphony Orchestra","Second Violins","Benjamin Scott","https://www.kennedy-center.org/artists/s/sa-sn/benjamin-scott/","Second Violins","FALSE"
"24","National Symphony Orchestra","Second Violins","Malorie Blake Shin","https://www.kennedy-center.org/artists/b/ba-bn/malorie-blake-shin/","Second Violins","FALSE"
"25","National Symphony Orchestra","Second Violins","Marina Aikawa","https://www.kennedy-center.org/artists/a/aa-an/marina-aikawa/","Second Violins","FALSE"
"26","National Symphony Orchestra","Second Violins","Peiming Lin","https://www.kennedy-center.org/artists/l/la-ln/peiming-lin/","Second Violins","FALSE"
"27","National Symphony Orchestra","Second Violins","Angelia Cho","https://www.kennedy-center.org/artists/c/ca-cn/angelia-cho/","Second Violins","FALSE"
"28","National Symphony Orchestra","Second Violins","Derek Powell","https://www.kennedy-center.org/artists/p/po-pz/derek-powel/","Second Violins","FALSE"
"29","National Symphony Orchestra","Violas","Daniel Foster","https://www.kennedy-center.org/artists/f/fo-fz/daniel-foster/","Principal","TRUE"
"30","National Symphony Orchestra","Violas","Abigail Evans Kreuzer","https://www.kennedy-center.org/artists/e/eo-ez/abigail-evans-kreuzer/","Assistant Principal","TRUE"
"31","National Symphony Orchestra","Violas","Lynne Edelson Levine","https://www.kennedy-center.org/artists/l/la-ln/lynne-edelson-levine/","Violas","FALSE"
"32","National Symphony Orchestra","Violas","Denise Wilkinson","https://www.kennedy-center.org/artists/w/wa-wn/denise-wilkinson/","Violas","FALSE"
"33","National Symphony Orchestra","Violas","James Francis Deighan","https://www.kennedy-center.org/artists/d/da-dn/james-francis-deighan/","Violas","FALSE"
"34","National Symphony Orchestra","Violas","Nancy Thomas","https://www.kennedy-center.org/artists/t/ta-tn/nancy-thomas/","Violas","FALSE"
"35","National Symphony Orchestra","Violas","Jennifer Mondie","https://www.kennedy-center.org/artists/m/mo-mz/jennifer-mondie/","Violas","FALSE"
"36","National Symphony Orchestra","Violas","Tsuna Sakamoto","https://www.kennedy-center.org/artists/s/sa-sn/tsuna-sakamoto/","Violas","FALSE"
"37","National Symphony Orchestra","Violas","Ruth  Wicker","https://www.kennedy-center.org/artists/s/sa-sn/ruth-wicker/","Violas","FALSE"
"38","National Symphony Orchestra","Violas","Mahoko Eguchi","https://www.kennedy-center.org/artists/e/ea-en/mahoko-eguchi/","Violas","FALSE"
"39","National Symphony Orchestra","Cellos","David Hardy","https://www.kennedy-center.org/artists/h/ha-hn/david-hardy/","Principal","TRUE"
"40","National Symphony Orchestra","Cellos","Glenn Garlick","https://www.kennedy-center.org/artists/g/ga-gn/glenn-garlick/","Assistant Principal","TRUE"
"41","National Symphony Orchestra","Cellos","Steven Honigberg","https://www.kennedy-center.org/artists/h/ho-hz/steven-honigberg/","Cellos","FALSE"
"42","National Symphony Orchestra","Cellos","David Teie","https://www.kennedy-center.org/artists/t/ta-tn/david-teie/","Cellos","FALSE"
"43","National Symphony Orchestra","Cellos","James Lee","https://www.kennedy-center.org/artists/l/la-ln/james-lee/","Cellos","FALSE"
"44","National Symphony Orchestra","Cellos","Rachel Young","https://www.kennedy-center.org/artists/y/yo-yz/rachel-young/","Cellos","FALSE"
"45","National Symphony Orchestra","Cellos","Mark Evans","https://www.kennedy-center.org/artists/e/eo-ez/mark-evans/","Cellos","FALSE"
"46","National Symphony Orchestra","Cellos","Eugena Chang","https://www.kennedy-center.org/artists/c/ca-cn/eugena-chang/","Cellos","FALSE"
"47","National Symphony Orchestra","Cellos","Loewi Lin","https://www.kennedy-center.org/artists/l/la-ln/loewi-lin/","Cellos","FALSE"
"48","National Symphony Orchestra","Cellos","Britton Riley","https://www.kennedy-center.org/artists/r/ra-rn/britton-riley/","Cellos","FALSE"
"49","National Symphony Orchestra","Basses","Robert Oppelt","https://www.kennedy-center.org/artists/o/oo-oz/robert-oppelt/","Principal","TRUE"
"50","National Symphony Orchestra","Basses","Richard Barber","https://www.kennedy-center.org/artists/b/ba-bn/richard-barber/","Assistant Principal","TRUE"
"51","National Symphony Orchestra","Basses","Jeffrey Weisner","https://www.kennedy-center.org/artists/w/wa-wn/jeffrey-weisner/","Basses","FALSE"
"52","National Symphony Orchestra","Basses","Ira Gold","https://www.kennedy-center.org/artists/g/go-gz/ira-gold/","Basses","FALSE"
"53","National Symphony Orchestra","Basses","Paul DeNola","https://www.kennedy-center.org/artists/d/da-dn/paul-denola/","Basses","FALSE"
"54","National Symphony Orchestra","Basses","Charles Nilles","https://www.kennedy-center.org/artists/n/na-nn/charles-nilles/","Basses","FALSE"
"55","National Symphony Orchestra","Basses","Alexander Jacobsen","https://www.kennedy-center.org/artists/j/ja-jn/alexander-jacobsen/","Basses","FALSE"
"56","National Symphony Orchestra","Basses","Michael Marks","https://www.kennedy-center.org/artists/m/ma-mn/michael-marks/","Basses","FALSE"
"57","National Symphony Orchestra","Harp","Adriana Horne","https://www.kennedy-center.org/artists/h/ho-hz/adriana-horne/","Principal","TRUE"
"58","National Symphony Orchestra","Flutes","Aaron Goldman","https://www.kennedy-center.org/artists/g/go-gz/aaron-goldman/","Principal","TRUE"
"59","National Symphony Orchestra","Flutes","Leah Arsenault Barrick","https://www.kennedy-center.org/artists/a/ao-az/leah-arsenault-barrick/","Assistant Principal","TRUE"
"60","National Symphony Orchestra","Flutes","Carole Bean","https://www.kennedy-center.org/artists/b/ba-bn/carole-bean/","Piccolo","FALSE"
"61","National Symphony Orchestra","Oboes","Nicholas Stovall","https://www.kennedy-center.org/artists/s/so-sz/nicholas-stovall/","Principal","TRUE"
"62","National Symphony Orchestra","Oboes","Jamie Roberts","https://www.kennedy-center.org/artists/r/ro-rz/jamie-roberts/","Assistant Principal","TRUE"
"63","National Symphony Orchestra","Oboes","Harrison Linsey","https://www.kennedy-center.org/artists/l/la-ln/harrison-linsey/","Oboes","FALSE"
"64","National Symphony Orchestra","Oboes","Kathryn Meany Wilson","https://www.kennedy-center.org/artists/w/wa-wn/kathryn-meany-wilson/","English Horn","FALSE"
"65","National Symphony Orchestra","Clarinets","Lin Ma","https://www.kennedy-center.org/artists/m/ma-mn/lin-ma/","Principal Clarinet","TRUE"
"66","National Symphony Orchestra","Clarinets","Eugene Mondie","https://www.kennedy-center.org/artists/m/mo-mz/eugene-mondie/","Assistant Principal Clarinet","TRUE"
"67","National Symphony Orchestra","Clarinets","Paul Cigan","https://www.kennedy-center.org/artists/c/ca-cn/paul-cigan/","Clarinets","FALSE"
"68","National Symphony Orchestra","Clarinets","Peter Cain","https://www.kennedy-center.org/artists/c/ca-cn/peter-cain/","Bass Clarinet","FALSE"
"69","National Symphony Orchestra","Bassoons","Sue Heineman","https://www.kennedy-center.org/artists/h/ha-hn/sue-heineman/","Principal","TRUE"
"70","National Symphony Orchestra","Bassoons","Steven Wilson","https://www.kennedy-center.org/artists/w/wa-wn/steven-wilson/","Acting Assistant Principal Bassoon","TRUE"
"71","National Symphony Orchestra","Bassoons","Lewis Lipnick","https://www.kennedy-center.org/artists/l/la-ln/lewis-lipnick/","Contrabassoon","FALSE"
"72","National Symphony Orchestra","Horns","Abel Pereira","https://www.kennedy-center.org/artists/p/pa-pn/abel-pereira/","Principal","TRUE"
"73","National Symphony Orchestra","Horns","Laurel Bennert Ohlson","https://www.kennedy-center.org/artists/o/oa-on/laurel-bennert-ohlson/","Associate Principal","TRUE"
"74","National Symphony Orchestra","Horns","Markus Osterlund","https://www.kennedy-center.org/artists/o/oo-oz/markus-osterlund/","Horns","FALSE"
"75","National Symphony Orchestra","Horns","James Nickel","https://www.kennedy-center.org/artists/n/na-nn/james-nickel/","Horns","FALSE"
"76","National Symphony Orchestra","Horns","Scott Fearing","https://www.kennedy-center.org/artists/f/fa-fn/scott-fearing/","Horns","FALSE"
"77","National Symphony Orchestra","Horns","Robert Rearden","https://www.kennedy-center.org/artists/r/ra-rn/robert-rearden/","Horns","FALSE"
"78","National Symphony Orchestra","Trumpets","William Gerlach","https://www.kennedy-center.org/artists/g/ga-gn/william-gerlach/","Principal","TRUE"
"79","National Symphony Orchestra","Trumpets","Thomas Cupples","https://www.kennedy-center.org/artists/c/co-cz/thomas-cupples/","Trumpets","FALSE"
"80","National Symphony Orchestra","Trumpets","Keith Jones","https://www.kennedy-center.org/artists/j/jo-jz/keith-jones/","Trumpets","FALSE"
"81","National Symphony Orchestra","Trombones","Craig Mulcahy","https://www.kennedy-center.org/artists/m/mo-mz/craig-mulcahy/","Principal","TRUE"
"82","National Symphony Orchestra","Trombones","Kevin Carlson","https://www.kennedy-center.org/artists/c/ca-cn/kevin-carlson/","Assistant Principal","TRUE"
"83","National Symphony Orchestra","Trombones","David Murray","https://www.kennedy-center.org/artists/m/mo-mz/david-murray/","Trombones","FALSE"
"84","National Symphony Orchestra","Trombones","Matthew Guilford","https://www.kennedy-center.org/artists/g/go-gz/matthew-guilford/","Bass Trombone","FALSE"
"85","National Symphony Orchestra","Tuba","Stephen Dumaine","https://www.kennedy-center.org/artists/d/do-dz/stephen-dumaine/","Principal","TRUE"
"86","National Symphony Orchestra","Timpani","Jauvon Gilliam","https://www.kennedy-center.org/artists/g/ga-gn/jauvon-gilliam/","Principal","TRUE"
"87","National Symphony Orchestra","Timpani","Scott Christian","https://www.kennedy-center.org/artists/c/ca-cn/scott-christian/","Assistant Principal","TRUE"
"88","National Symphony Orchestra","Percussion","Eric Shin","https://www.kennedy-center.org/artists/s/sa-sn/eric-shin/","Principal","TRUE"
