"","orchestra","section","name","link","title","isLead"
"1","New York Philharmonic","Violins","Frank Huang","https://nyphil.org/about-us/artists/frank-huang","Concertmaster, The Charles E. Culpeper Chair",TRUE
"2","New York Philharmonic","Violins","Sheryl Staples","https://nyphil.org/about-us/artists/sheryl-staples","Principal Associate Concertmaster, The Elizabeth G. Beinecke Chair",TRUE
"3","New York Philharmonic","Violins","Michelle Kim","https://nyphil.org/about-us/artists/michelle-kim","Assistant Concertmaster, The William Petschek Family Chair",TRUE
"4","New York Philharmonic","Violins","Quan Ge","https://nyphil.org/about-us/artists/quan-ge","Violins",FALSE
"5","New York Philharmonic","Violins","Hae-Young Ham","https://nyphil.org/about-us/artists/hae-young-ham","The Mr. and Mrs. Timothy M. George Chair",FALSE
"6","New York Philharmonic","Violins","Lisa GiHae Kim","https://nyphil.org/about-us/artists/lisa-gihae-kim","Violins",FALSE
"7","New York Philharmonic","Violins","Kuan Cheng Lu","https://nyphil.org/about-us/artists/kuan-cheng_lu","Violins",FALSE
"8","New York Philharmonic","Violins","Kerry McDermott","https://nyphil.org/about-us/artists/kerry-mcdermott","Violins",FALSE
"9","New York Philharmonic","Violins","Su Hyun Park","https://nyphil.org/about-us/artists/su-hyun-park","Violins",FALSE
"10","New York Philharmonic","Violins","Anna Rabinova","https://nyphil.org/about-us/artists/anna-rabinova","Violins",FALSE
"11","New York Philharmonic","Violins","Fiona Simon","https://nyphil.org/about-us/artists/fiona-simon","The Shirley Bacot Shamel Chair",FALSE
"12","New York Philharmonic","Violins","Sharon Yamada","https://nyphil.org/about-us/artists/sharon-yamada","Violins",FALSE
"13","New York Philharmonic","Violins","Elizabeth Zeltser","https://nyphil.org/about-us/artists/elizabeth-zeltser","The William and Elfriede Ulrich Chair",FALSE
"14","New York Philharmonic","Violins","Yulia Ziskel","https://nyphil.org/about-us/artists/yulia-ziskel","The Friends and Patrons Chair",FALSE
"15","New York Philharmonic","Violins","Qianqian Li","https://nyphil.org/about-us/artists/qianqian-li","Principal",TRUE
"16","New York Philharmonic","Violins","Lisa Kim","https://nyphil.org/about-us/artists/lisa-kim","Associate Principal, In Memory of Laura Mitchell",TRUE
"17","New York Philharmonic","Violins","Soohyun Kwon","https://nyphil.org/about-us/artists/soohyun-kwon","The Joan and Joel I. Picket Chair",FALSE
"18","New York Philharmonic","Violins","Duoming Ba","https://nyphil.org/about-us/artists/duoming-ba","Violins",FALSE
"19","New York Philharmonic","Violins","Hannah Choi","https://nyphil.org/about-us/artists/hannah-choi","Violins",FALSE
"20","New York Philharmonic","Violins","Marilyn Dubow","https://nyphil.org/about-us/artists/marilyn-dubow","The Sue and Eugene Mercy, Jr. Chair",FALSE
"21","New York Philharmonic","Violins","Dasol Jeong","https://nyphil.org/about-us/artists/dasol-jeong","Violins",FALSE
"22","New York Philharmonic","Violins","Hyunju Lee","https://nyphil.org/about-us/artists/hyunju-lee","Violins",FALSE
