"","orchestra","section","name","link","title","isLead"
"1","Oregon Symphony","Violin","Sarah Kwak","https://www.orsymphony.org/link/c98fe95c2cd74a5684badff038b75b60.aspx","Concertmaster","TRUE"
"2","Oregon Symphony","Violin","Peter Frajola","https://www.orsymphony.org/link/39284754eacd42eabd5b7c496e0fd18d.aspx","associate Concertmaster","TRUE"
"3","Oregon Symphony","Violin","Erin Furbee","https://www.orsymphony.org/link/bfada9edde804a75bd35fb861bbf101e.aspx","Assistant Concertmaster","TRUE"
"4","Oregon Symphony","Violin","Chien Tan","https://www.orsymphony.org/link/433d66216d3b4e0d8d97c11303babf75.aspx","Principal Second Violin","TRUE"
"5","Oregon Symphony","Violin","Inés Voglar Belgique","https://www.orsymphony.org/link/3d9d4e892dc2416cb3847c4cf9066a86.aspx","Assistant Principal Second Violin","TRUE"
"6","Oregon Symphony","Violin","Fumino Ando","https://www.orsymphony.org/link/2a2a70bbdeb54810aa303338e1692d36.aspx","Violin","FALSE"
"7","Oregon Symphony","Violin","Keiko Araki","https://www.orsymphony.org/link/5ca672f5418e453bbbec2f66fbdb3221.aspx","Violin","FALSE"
"8","Oregon Symphony","Violin","Clarisse Atcherson","https://www.orsymphony.org/link/29bb7e3ec122471ca096645565a26def.aspx","Violin","FALSE"
"9","Oregon Symphony","Violin","Lucia Atkinson",NA,"Violin","FALSE"
"10","Oregon Symphony","Violin","Ron Blessinger","https://www.orsymphony.org/link/2bf4ece28779417aa6a0bec2c9386e3b.aspx","Violin","FALSE"
"11","Oregon Symphony","Violin","Lisbeth Carreno","https://www.orsymphony.org/link/1be01cbce80e47199b5f6c6175b9bd38.aspx","Violin","FALSE"
"12","Oregon Symphony","Violin","Ruby Chen","https://www.orsymphony.org/link/720e83cbd2584ec0adf9aa34a1b19c68.aspx","Violin","FALSE"
"13","Oregon Symphony","Violin","Emily Cole","https://www.orsymphony.org/link/bd62f089c0ac467390510dbb291f0122.aspx","Violin","FALSE"
"14","Oregon Symphony","Violin","Julie Coleman","https://www.orsymphony.org/link/6e8d3bb69d5740b1bb0b79244c9ded51.aspx","Violin","FALSE"
"15","Oregon Symphony","Violin","Jonathan Dubay","https://www.orsymphony.org/link/9de3ec8dd28b4137852998c679e9c0f9.aspx","Violin","FALSE"
"16","Oregon Symphony","Violin","Gregory Ewer","https://www.orsymphony.org/link/45ada4ffccb54e4eba51d4c6f28dbdf6.aspx","Violin","FALSE"
"17","Oregon Symphony","Violin","Daniel Ge Feng",NA,"Violin","FALSE"
"18","Oregon Symphony","Violin","Lynne Finch","https://www.orsymphony.org/link/d990e43e0a7f454b9abc601f6e807eea.aspx","Violin","FALSE"
"19","Oregon Symphony","Violin","Nelly Kovalev",NA,"Violin","FALSE"
"20","Oregon Symphony","Violin","Shin-young Kwon","https://www.orsymphony.org/link/00198abe472e4da18da3af34ccf445da.aspx","Violin","FALSE"
