"","orchestra","section","name","link","title","isLead"
"1","Pacific Symphony","First Violin","Dennis Kim","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/dennis-kim","Concertmaster","TRUE"
"2","Pacific Symphony","First Violin","Paul Manaster","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/paul-manaster","Associate Concertmaster","TRUE"
"3","Pacific Symphony","First Violin","Jeanne Skrocki","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/jeanne-skrocki","Assistant Concertmaster","TRUE"
"4","Pacific Symphony","First Violin","Christine Frank","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/christine-frank","First Violin","FALSE"
"5","Pacific Symphony","First Violin","Kimiyo Takeya","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/kimiyo-takeya","First Violin","FALSE"
"6","Pacific Symphony","First Violin","Ayako Sugaya","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/ayako-sugaya","First Violin","FALSE"
"7","Pacific Symphony","First Violin","Ann Shiau Tenney","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/ann-shiau-tenney","First Violin","FALSE"
"8","Pacific Symphony","First Violin","Joanna Lee","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/joanna-lee","First Violin","FALSE"
"9","Pacific Symphony","First Violin","Robert Schumitzky","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/robert-schumitzky","First Violin","FALSE"
"10","Pacific Symphony","First Violin","Agnes Gottschewski","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/agnes-gottschewski","First Violin","FALSE"
"11","Pacific Symphony","First Violin","Dana Freeman","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/dana-freeman","First Violin","FALSE"
"12","Pacific Symphony","First Violin","Julie Ahn","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/julie-ahn","First Violin","FALSE"
"13","Pacific Symphony","Second Violin","Bridget Dolkas","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/bridget-dolkas","Principal","TRUE"
"14","Pacific Symphony","Second Violin","Jennise Hwang","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/jennise-hwang","Assistant Principal","TRUE"
"15","Pacific Symphony","Second Violin","Yen Ping Lai","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/yen-ping-lai","Second Violin","FALSE"
"16","Pacific Symphony","Second Violin","Yu-Tong Sharp","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/yu-tong-sharp","Second Violin","FALSE"
"17","Pacific Symphony","Second Violin","Ako Kojian","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/ako-kojian","Second Violin","FALSE"
"18","Pacific Symphony","Second Violin","Linda Owen","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/linda-owen","Second Violin","FALSE"
"19","Pacific Symphony","Second Violin","Sooah Kim","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/sooah-kim","Second Violin","FALSE"
"20","Pacific Symphony","Second Violin","MarlaJoy Weisshaar","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/marlajoy-weisshaar","Second Violin","FALSE"
"21","Pacific Symphony","Second Violin","Alice Miller-Wrate","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/alice-wrate","Second Violin","FALSE"
"22","Pacific Symphony","Second Violin","Shelly Shi","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/shelly-shi","Second Violin","FALSE"
"23","Pacific Symphony","Second Violin","Hanbyul Jang","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/hanbyul_jang","Second Violin","FALSE"
"24","Pacific Symphony","Viola","Meredith Crawford","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/meredith-crawford","Principal","TRUE"
"25","Pacific Symphony","Viola","Carolyn Riley","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/carolyn-riley","Viola","FALSE"
"26","Pacific Symphony","Viola","John Acevedo","https://www.pacificsymphony.org/the_performers/meet_the_musicians/musician/john-acevedo","Viola","FALSE"
