"","orchestra","section","name","link","title","isLead"
"1","San Diego Symphony","Violin","Jeff Thayer","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/jeff-thayer/","Concertmaster","TRUE"
"2","San Diego Symphony","Violin","Wesley Precourt","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/wesley-precourt/","Associate Concertmaster","TRUE"
"3","San Diego Symphony","Violin","Jisun Yang","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/jisun-yang/","Assistant Concertmaster","TRUE"
"4","San Diego Symphony","Violin","Alexander Palamidis","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/alexander-palamidis/","Principal Second Violin","TRUE"
"5","San Diego Symphony","Violin","Hanah Stuart","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/hanah-stuart/","Acting Associate Principal Second Violin","TRUE"
"6","San Diego Symphony","Violin","Ai Nihira Awata","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/ai-nihira/","Violin","FALSE"
"7","San Diego Symphony","Violin","Jing Yan Bowcott","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/jing-bowcott/","Violin","FALSE"
"8","San Diego Symphony","Violin","Yumi Cho","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/yumi-cho/","Violin","FALSE"
"9","San Diego Symphony","Violin","Hernan Constantino","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/hernan-constantino/","Violin","FALSE"
"10","San Diego Symphony","Violin","Alicia Engley","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/alicia-engley/","Violin","FALSE"
"11","San Diego Symphony","Violin","Kathryn Hatmaker","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/kathryn-hatmaker/","Violin","FALSE"
"12","San Diego Symphony","Violin","Angela Homnick","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/angela-homnick/","Violin","FALSE"
"13","San Diego Symphony","Violin","Kenneth Liao","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/kenneth-liao/","Violin","FALSE"
"14","San Diego Symphony","Violin","Igor Pandurski","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/igor-pandurski-violin/","Violin","FALSE"
"15","San Diego Symphony","Violin","Julia Pautz","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/julia-pautz/","Violin","FALSE"
"16","San Diego Symphony","Violin","Yeh Shen","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/yeh-shen/","Violin","FALSE"
"17","San Diego Symphony","Violin","Edmund Stein","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/edmund-stein/","Violin","FALSE"
"18","San Diego Symphony","Violin","John Stubbs","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/john-stubbs/","Violin","FALSE"
"19","San Diego Symphony","Violin","Pei-Chun Tsai","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/pei-chun-tsai/","Violin","FALSE"
"20","San Diego Symphony","Violin","Zou Yu","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/zou-yu/","Violin","FALSE"
"21","San Diego Symphony","Violin","Thomas Dougherty","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/thomas-dougherty/","Violin","FALSE"
"22","San Diego Symphony","Violin","Benjamin Hoffman","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/benjamin-hoffman/","Violin","FALSE"
"23","San Diego Symphony","Violin","Nicole Sauder","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/nicole-sauder/","Violin","FALSE"
"24","San Diego Symphony","Violin","Sarah Schwartz","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/sarah-schwartz/","Violin","FALSE"
"25","San Diego Symphony","Viola","Chi-Yuan Chen","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/chi-yuan-chen/","Principal","TRUE"
"26","San Diego Symphony","Viola","Nancy Lochner","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/nancy-lochner/","Associate Principal","TRUE"
"27","San Diego Symphony","Viola","Wanda Law","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/wanda-law/","Viola","FALSE"
"28","San Diego Symphony","Viola","Qing Liang","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/qing-liang/","Viola","FALSE"
"29","San Diego Symphony","Viola","Abraham Martín","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/abraham-mart%C3%ADn/","Viola","FALSE"
"30","San Diego Symphony","Viola","Johanna Nowik","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/johanna-nowik/","Viola","FALSE"
"31","San Diego Symphony","Viola","Ethan Pernela","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/ethan-pernela/","Viola","FALSE"
"32","San Diego Symphony","Viola","Marcel Gemperli","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/marcel-gemperli/","Viola","FALSE"
"33","San Diego Symphony","Viola","Jason Karlyn","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/jason-karlyn/","Viola","FALSE"
"34","San Diego Symphony","Cello","Yao Zhao","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/yao-zhao/","Principal ","TRUE"
"35","San Diego Symphony","Cello","Chia-Ling Chien","https://www.sandiegosymphony.org/about-the-sdso/orchestra-members/member/chia-ling-chien/","Associate Principal","TRUE"
