"","orchestra","section","name","link","title","isLead"
"1","San Francisco Symphony","Violin","Alexander Barantschik","https://www.sfsymphony.org/Data/Event-Data/Artists/B/Alexander-Barantschik","Concertmaster","TRUE"
"2","San Francisco Symphony","First Violin","Nadya Tichman","https://www.sfsymphony.org/Data/Event-Data/Artists/T/Nadya-Tichman","Associate Concertmaster","TRUE"
"3","San Francisco Symphony","First Violin","Wyatt Underhill","https://www.sfsymphony.org/Data/Event-Data/Artists/U/Wyatt-Underhill","Assistant Concertmaster","TRUE"
"4","San Francisco Symphony","First Violin","Jeremy Constant","https://www.sfsymphony.org/Data/Event-Data/Artists/C/Jeremy-Constant","Assistant Concertmaster","TRUE"
"5","San Francisco Symphony","First Violin","Mariko Smiley","https://www.sfsymphony.org/Data/Event-Data/Artists/S/Mariko-Smiley","First Violin","FALSE"
"6","San Francisco Symphony","First Violin","Melissa Kleinbart","https://www.sfsymphony.org/Data/Event-Data/Artists/K/Melissa-Kleinbart","First Violin","FALSE"
"7","San Francisco Symphony","First Violin","Yun Chu","https://www.sfsymphony.org/Data/Event-Data/Artists/C/Yun-Chu","First Violin","FALSE"
"8","San Francisco Symphony","First Violin","Naomi Kazama Hull","https://www.sfsymphony.org/Data/Event-Data/Artists/H/Naomi-Kazama-Hull","First Violin","FALSE"
"9","San Francisco Symphony","First Violin","In Sun Jang","https://www.sfsymphony.org/Data/Event-Data/Artists/J/In-Sun-Jang","First Violin","FALSE"
"10","San Francisco Symphony","First Violin","Yukiko Kurakata","https://www.sfsymphony.org/Data/Event-Data/Artists/K/Yukiko-Kurakata","First Violin","FALSE"
"11","San Francisco Symphony","First Violin","Suzanne Leon","https://www.sfsymphony.org/Data/Event-Data/Artists/L/Suzanne-Leon","First Violin","FALSE"
"12","San Francisco Symphony","First Violin","Leor Maltinski","https://www.sfsymphony.org/Data/Event-Data/Artists/M/Leor-Maltinski","First Violin","FALSE"
"13","San Francisco Symphony","First Violin","Sarn Oliver","https://www.sfsymphony.org/Data/Event-Data/Artists/O/Sam-Oliver","First Violin","FALSE"
"14","San Francisco Symphony","First Violin","Florin Parvulescu","https://www.sfsymphony.org/Data/Event-Data/Artists/P/Florin-Parvulescu","First Violin","FALSE"
"15","San Francisco Symphony","First Violin","Victor Romasevich","https://www.sfsymphony.org/Data/Event-Data/Artists/R/Victor-Romasevich","First Violin","FALSE"
"16","San Francisco Symphony","First Violin","Catherine Van Hoesen","https://www.sfsymphony.org/Data/Event-Data/Artists/V/Catherine-Van-Hoesen","First Violin","FALSE"
"17","San Francisco Symphony","Second Violin","Dan Carlson","https://www.sfsymphony.org/Data/Event-Data/Artists/C/Dan-Carlson","Principal","TRUE"
"18","San Francisco Symphony","Second Violin","Helen Kim","https://www.sfsymphony.org/Data/Event-Data/Artists/K/Helen-Kim","Associate Principal","TRUE"
"19","San Francisco Symphony","Second Violin","Jessie Fellows","https://www.sfsymphony.org/Data/Event-Data/Artists/F/Jessie-Fellows","Second Violin","FALSE"
"20","San Francisco Symphony","Second Violin","Raushan Akhmedyarova","https://www.sfsymphony.org/Data/Event-Data/Artists/A/Raushan-Akhmedyarova","Second Violin","FALSE"
"21","San Francisco Symphony","Second Violin","David Chernyavsky","https://www.sfsymphony.org/Data/Event-Data/Artists/C/David-Chernyavsky","Second Violin","FALSE"
"22","San Francisco Symphony","Second Violin","John Chisholm","https://www.sfsymphony.org/Data/Event-Data/Artists/C/John-Chisholm","Second Violin","FALSE"
"23","San Francisco Symphony","Second Violin","Cathryn Down","https://www.sfsymphony.org/Data/Event-Data/Artists/D/Cathryn-Down","Second Violin","FALSE"
"24","San Francisco Symphony","Second Violin","Darlene Gray","https://www.sfsymphony.org/Data/Event-Data/Artists/G/Darlene-Gray","Second Violin","FALSE"
"25","San Francisco Symphony","Second Violin","Amy Hiraga","https://www.sfsymphony.org/Data/Event-Data/Artists/H/Amy-Hiraga","Second Violin","FALSE"
"26","San Francisco Symphony","Second Violin","Kum Mo Kim","https://www.sfsymphony.org/Data/Event-Data/Artists/K/Kum-Mo-Kim","Second Violin","FALSE"
"27","San Francisco Symphony","Second Violin","Kelly Leon-Pearce","https://www.sfsymphony.org/Data/Event-Data/Artists/L/Kelly-Leon-Pearce","Second Violin","FALSE"
"28","San Francisco Symphony","Second Violin","Eliot Lev","https://www.sfsymphony.org/Data/Event-Data/Artists/L/Eliot-Lev","Second Violin","FALSE"
"29","San Francisco Symphony","Second Violin","Chunming Mo","https://www.sfsymphony.org/Data/Event-Data/Artists/M/Chunning-Mo","Second Violin","FALSE"
"30","San Francisco Symphony","Second Violin","Polina Sedukh","https://www.sfsymphony.org/Data/Event-Data/Artists/S/Polina-Sedukh","Second Violin","FALSE"
"31","San Francisco Symphony","Second Violin","Chen Zhao","https://www.sfsymphony.org/Data/Event-Data/Artists/Z/Chen-Zhao","Second Violin","FALSE"
"32","San Francisco Symphony","Viola","Jonathan Vinocour","https://www.sfsymphony.org/Data/Event-Data/Artists/V/Jonathan-Vinocour","Principal","TRUE"
"33","San Francisco Symphony","Viola","Yun Jie Liu","https://www.sfsymphony.org/Data/Event-Data/Artists/L/Yun-Jie-Liu","Associate Principal","TRUE"
"34","San Francisco Symphony","Viola","Katie Kadarauch","https://www.sfsymphony.org/Data/Event-Data/Artists/K/Katie-Kadarauch","Assistant Principal","TRUE"
"35","San Francisco Symphony","Viola","Gina Cooper","https://www.sfsymphony.org/Data/Event-Data/Artists/C/Gina-Cooper","Viola","FALSE"
"36","San Francisco Symphony","Viola","David Gaudry","https://www.sfsymphony.org/Data/Event-Data/Artists/G/David-Gaudry","Viola","FALSE"
"37","San Francisco Symphony","Viola","David Kim","https://www.sfsymphony.org/Data/Event-Data/Artists/K/David-Kim","Viola","FALSE"
"38","San Francisco Symphony","Viola","Christina King","https://www.sfsymphony.org/Data/Event-Data/Artists/K/Kim-Christina","Viola","FALSE"
"39","San Francisco Symphony","Viola","Wayne Roden","https://www.sfsymphony.org/Data/Event-Data/Artists/R/Wayne-Roden","Viola","FALSE"
"40","San Francisco Symphony","Viola","Nanci Severance","https://www.sfsymphony.org/Data/Event-Data/Artists/S/Nanci-Severance","Viola","FALSE"
"41","San Francisco Symphony","Viola","Adam Smyla","https://www.sfsymphony.org/Data/Event-Data/Artists/S/Adam-Smyla","Viola","FALSE"
"42","San Francisco Symphony","Viola","Matthew Young","https://www.sfsymphony.org/Data/Event-Data/Artists/Y/Matthew-Young","Viola","FALSE"
"43","San Francisco Symphony","Cello","Peter Wyrick","https://www.sfsymphony.org/Data/Event-Data/Artists/W/Peter-Wyrick","Associate Principal","TRUE"
"44","San Francisco Symphony","Cello","Amos Yang","https://www.sfsymphony.org/Data/Event-Data/Artists/Y/Amos-Yang","Assistant Principal Cello","TRUE"
