"","orchestra","section","name","link","title","isLead"
"1","Seattle Symphony","First Violin","Noah Geller","https://www.seattlesymphony.org/en/about/meetthemusicians/theorchestra/artists/first-violin/geller-noah","Concertmaster","TRUE"
"2","Seattle Symphony","First Violin","Eduardo Rios","https://www.seattlesymphony.org/en/about/meetthemusicians/theorchestra/artists/first-violin/rios-eduardo","Associate Concertmaster","TRUE"
"3","Seattle Symphony","First Violin","Jennifer Bai","https://www.seattlesymphony.org/en/about/meetthemusicians/theorchestra/artists/first-violin/bai-jennifer","First Violin","FALSE"
"4","Seattle Symphony","First Violin","Mariel Bailey","https://www.seattlesymphony.org/en/about/meetthemusicians/theorchestra/artists/first-violin/bailey-mariel","First Violin","FALSE"
"5","Seattle Symphony","First Violin","Cecilia Poellein Buss","https://www.seattlesymphony.org/en/about/meetthemusicians/theorchestra/artists/first-violin/poellein-buss-cecilia","First Violin","FALSE"
"6","Seattle Symphony","First Violin","Timothy Garland","https://www.seattlesymphony.org/en/about/meetthemusicians/theorchestra/artists/first-violin/garland-timothy","First Violin","FALSE"
"7","Seattle Symphony","First Violin","Leonid Keylin","https://www.seattlesymphony.org/en/about/meetthemusicians/theorchestra/artists/first-violin/keylin-leonid","First Violin","FALSE"
"8","Seattle Symphony","First Violin","Andy Liang","https://www.seattlesymphony.org/en/about/meetthemusicians/theorchestra/artists/first-violin/liang-andy","First Violin","FALSE"
"9","Seattle Symphony","First Violin","Mae Lin","https://www.seattlesymphony.org/en/about/meetthemusicians/theorchestra/artists/first-violin/lin-mae","First Violin","FALSE"
"10","Seattle Symphony","First Violin","Mikhail Shmidt","https://www.seattlesymphony.org/en/about/meetthemusicians/theorchestra/artists/first-violin/shmidt-mikhail","First Violin","FALSE"
"11","Seattle Symphony","First Violin","John Weller","https://www.seattlesymphony.org/en/about/meetthemusicians/theorchestra/artists/first-violin/weller-john","First Violin","FALSE"
