"","orchestra","section","name","link","title","isLead"
"1","St. Louis Symphony Orchestra","FIRST VIOLINS","David Halen","https://www.slso.org/en/musicians-slso/orchestra/david-halen/","Concertmaster","TRUE"
"2","St. Louis Symphony Orchestra","FIRST VIOLINS","Heidi Harris","https://www.slso.org/en/musicians-slso/orchestra/heidi-harris/","Associate Concertmaster","TRUE"
"3","St. Louis Symphony Orchestra","FIRST VIOLINS","Celeste Golden","https://www.slso.org/en/musicians-slso/orchestra/celeste-golden-boyer/","Second Associate Concertmaster","TRUE"
"4","St. Louis Symphony Orchestra","FIRST VIOLINS","Erin Schreiber","https://www.slso.org/en/musicians-slso/orchestra/erin-schreiber/","Assistant Concertmaster","TRUE"
"5","St. Louis Symphony Orchestra","FIRST VIOLINS","Dana Edson Myers","https://www.slso.org/en/musicians-slso/orchestra/dana-edson-myers/","FIRST VIOLINS","FALSE"
"6","St. Louis Symphony Orchestra","FIRST VIOLINS","Ann Fink","https://www.slso.org/en/musicians-slso/orchestra/ann-fink/","FIRST VIOLINS","FALSE"
"7","St. Louis Symphony Orchestra","FIRST VIOLINS","Jessica Cheng Hellwege","https://www.slso.org/en/musicians-slso/orchestra/jessica-cheng/","FIRST VIOLINS","FALSE"
"8","St. Louis Symphony Orchestra","FIRST VIOLINS","Emily Ho","https://www.slso.org/en/musicians-slso/orchestra/emily-ho/","FIRST VIOLINS","FALSE"
"9","St. Louis Symphony Orchestra","FIRST VIOLINS","I-Jung Huang","https://www.slso.org/en/musicians-slso/orchestra/i-jung-huang/","FIRST VIOLINS","FALSE"
"10","St. Louis Symphony Orchestra","FIRST VIOLINS","Hannah Ji","https://www.slso.org/en/musicians-slso/orchestra/hannah-ji/","FIRST VIOLINS","FALSE"
"11","St. Louis Symphony Orchestra","FIRST VIOLINS","Joo Kim","https://www.slso.org/en/musicians-slso/orchestra/joo-kim/","FIRST VIOLINS","FALSE"
"12","St. Louis Symphony Orchestra","FIRST VIOLINS","Melody Lee","https://www.slso.org/en/musicians-slso/orchestra/melody-lee/","FIRST VIOLINS","FALSE"
"13","St. Louis Symphony Orchestra","FIRST VIOLINS","Xiaoxiao Qiang","https://www.slso.org/en/musicians-slso/orchestra/xiaoxiao-qiang/","FIRST VIOLINS","FALSE"
"14","St. Louis Symphony Orchestra","FIRST VIOLINS","Angie Smart","https://www.slso.org/en/musicians-slso/orchestra/angie-smart/","FIRST VIOLINS","FALSE"
"15","St. Louis Symphony Orchestra","FIRST VIOLINS","Hiroko Yoshida","https://www.slso.org/en/musicians-slso/orchestra/hiroko-yoshida/","FIRST VIOLINS","FALSE"
"16","St. Louis Symphony Orchestra","SECOND VIOLINS","Alison Harney","https://www.slso.org/en/musicians-slso/orchestra/alison-harney1/","Principal","TRUE"
"17","St. Louis Symphony Orchestra","SECOND VIOLINS","Kristin Ahlstrom","https://www.slso.org/en/musicians-slso/orchestra/kristin-ahlstrom/","Associate Principal","TRUE"
"18","St. Louis Symphony Orchestra","SECOND VIOLINS","Eva Kozma","https://www.slso.org/en/musicians-slso/orchestra/eva-kozma/","Assistant Principal","TRUE"
"19","St. Louis Symphony Orchestra","SECOND VIOLINS","Andrea Jarrett","https://www.slso.org/en/musicians-slso/orchestra/andrea-jarrett/","SECOND VIOLINS","FALSE"
"20","St. Louis Symphony Orchestra","SECOND VIOLINS","Rebecca Boyer Hall","https://www.slso.org/en/musicians-slso/orchestra/rebecca-boyer-hall/","SECOND VIOLINS","FALSE"
