"","orchestra","section","name","link","title","isLead"
"1","The Cleveland Orchestra","First Violins","Peter Otto","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/otto-peter/","First Associate Concertmaster","TRUE"
"2","The Cleveland Orchestra","First Violins","Jung-Min Amy Lee","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/lee-jung-min-amy/","Associate Concertmaster","TRUE"
"3","The Cleveland Orchestra","First Violins","Jessica Lee","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/lee-jessica/","Assistant Concertmaster","TRUE"
"4","The Cleveland Orchestra","First Violins","Stephen Tavani","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/Tavani-Stephen/","Assistant Concertmaster","TRUE"
"5","The Cleveland Orchestra","First Violins","Takako Masame","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/masame-takako/","First Violins","FALSE"
"6","The Cleveland Orchestra","First Violins","Wei-Fang Gu","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/gu-wei-fang/","First Violins","FALSE"
"7","The Cleveland Orchestra","First Violins","Kim Gomez","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/Gomez-Kim/","First Violins","FALSE"
"8","The Cleveland Orchestra","First Violins","Chul-In Park","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/Park-chul-in/","First Violins","FALSE"
"9","The Cleveland Orchestra","First Violins","Miho Hashizume","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/hashizume-miho/","First Violins","FALSE"
"10","The Cleveland Orchestra","First Violins","Jeanne Preucil Rose","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/Jeanne-Preucil-Rose/","First Violins","FALSE"
"11","The Cleveland Orchestra","First Violins","Alicia Koelz","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/Koelz-Alicia/","First Violins","FALSE"
"12","The Cleveland Orchestra","First Violins","Yu Yuan","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/yuan-yu/","First Violins","FALSE"
"13","The Cleveland Orchestra","First Violins","Isabel Trautwein","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/trautwein-isabel/","First Violins","FALSE"
"14","The Cleveland Orchestra","First Violins","Katherine Bormann","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/Bormann-Katherine/","First Violins","FALSE"
"15","The Cleveland Orchestra","First Violins","Analisé Denise Kukelhan","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/Denise-Kukelhan-Analise/","First Violins","FALSE"
"16","The Cleveland Orchestra","First Violins","Zhan Shu","https://www.clevelandorchestra.com/discover/meet-the-musicians/first-violins/Shu-Zhan/","First Violins","FALSE"
"17","The Cleveland Orchestra","Second Violins","Stephen Rose","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/rose-stephen/","Principal","TRUE"
"18","The Cleveland Orchestra","Second Violins","Emilio Llinás","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/llinas-emilio/","Assistant Principal","TRUE"
"19","The Cleveland Orchestra","Second Violins","Eli Matthews","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/matthews-eli/","First Assistant Principal","TRUE"
"20","The Cleveland Orchestra","Second Violins","Sonja Braaten Molloy","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/Molloy-Sonja-braaten/","Second Violins","FALSE"
"21","The Cleveland Orchestra","Second Violins","Carolyn Gadiel Warner","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/Warner-Carolyn-Gadiel/","Second Violins","FALSE"
"22","The Cleveland Orchestra","Second Violins","Elayna Duitman","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/Duitman-Elayna/","Second Violins","FALSE"
"23","The Cleveland Orchestra","Second Violins","Ioana Missits","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/Missits-Ioana/","Second Violins","FALSE"
"24","The Cleveland Orchestra","Second Violins","Jeffrey Zehngut","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/Zehngut-Jeffrey/","Second Violins","FALSE"
"25","The Cleveland Orchestra","Second Violins","Vladimir Deninzon","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/Deninzon-Vladimir/","Second Violins","FALSE"
"26","The Cleveland Orchestra","Second Violins","Sae Shiragami","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/Shiragami-Sae/","Second Violins","FALSE"
"27","The Cleveland Orchestra","Second Violins","Scott Weber","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/Weber-Scott/","Second Violins","FALSE"
"28","The Cleveland Orchestra","Second Violins","Kathleen Collins","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/Collins-Kathleen/","Second Violins","FALSE"
"29","The Cleveland Orchestra","Second Violins","Beth Woodside","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/Woodside-Beth/","Second Violins","FALSE"
"30","The Cleveland Orchestra","Second Violins","Emma Shook","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/Shook-Emma/","Second Violins","FALSE"
"31","The Cleveland Orchestra","Second Violins","Yun-Ting Lee","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/Lee-Yun-ting/","Second Violins","FALSE"
"32","The Cleveland Orchestra","Second Violins","Jiah Chung Chapdelaine","https://www.clevelandorchestra.com/discover/meet-the-musicians/second-violins/Chapdelaine-Jiah-Chung/","Second Violins","FALSE"
"33","The Cleveland Orchestra","Violas","Wesley Collins","https://www.clevelandorchestra.com/discover/meet-the-musicians/violas/collins-wesley/","Principal","TRUE"
"34","The Cleveland Orchestra","Violas","Lynne Ramsey","https://www.clevelandorchestra.com/discover/meet-the-musicians/violas/Ramsey-Lynne/","First Assistant Principal","TRUE"
"35","The Cleveland Orchestra","Violas","Mark Jackobs","https://www.clevelandorchestra.com/discover/meet-the-musicians/violas/jackobs-mark/","Violas","FALSE"
"36","The Cleveland Orchestra","Violas","Stanley Konopka","https://www.clevelandorchestra.com/discover/meet-the-musicians/violas/konopka-stanley/","Assistant Principal Viola","TRUE"
"37","The Cleveland Orchestra","Violas","Richard Waugh","https://www.clevelandorchestra.com/discover/meet-the-musicians/violas/waugh-richard/","Violas","FALSE"
"38","The Cleveland Orchestra","Violas","Lisa Boyko","https://www.clevelandorchestra.com/discover/meet-the-musicians/violas/boyko-lisa/","Violas","FALSE"
"39","The Cleveland Orchestra","Violas","Lembi Veskimets","https://www.clevelandorchestra.com/discover/meet-the-musicians/violas/veskimets-lembi/","Violas","FALSE"
"40","The Cleveland Orchestra","Violas","Eliesha Nelson","https://www.clevelandorchestra.com/discover/meet-the-musicians/violas/nelson-eliesha/","Violas","FALSE"
"41","The Cleveland Orchestra","Violas","Joanna Patterson Zakany","https://www.clevelandorchestra.com/discover/meet-the-musicians/violas/zakany-patterson-joanna/","Violas","FALSE"
