"","orchestra","section","name","link","title","isLead"
"1","The Philadelphia Orchestra","First Violins","David Kim","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/david-kim/","Concertmaster","TRUE"
"2","The Philadelphia Orchestra","First Violins","Juliette Kang","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/juliette-kang/","First Associate Concertmaster","TRUE"
"3","The Philadelphia Orchestra","First Violins","Marc Rovetti","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/marc-rovetti/","Assistant Concertmaster","TRUE"
"4","The Philadelphia Orchestra","First Violins","Barbara Govatos","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/barbara-govatos/","First Violins","FALSE"
"5","The Philadelphia Orchestra","First Violins","Jonathan Beiler","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/jonathan-beiler/","First Violins","FALSE"
"6","The Philadelphia Orchestra","First Violins","Hirono Oka","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/hirono-oka/","First Violins","FALSE"
"7","The Philadelphia Orchestra","First Violins","Richard Amoroso","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/richard-amoroso/","First Violins","FALSE"
"8","The Philadelphia Orchestra","First Violins","Yayoi Numazawa","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/yayoi-numazawa/","First Violins","FALSE"
"9","The Philadelphia Orchestra","First Violins","Jason DePue","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/jason-depue/","First Violins","FALSE"
"10","The Philadelphia Orchestra","First Violins","Jennifer Haas","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/jennifer-haas/","First Violins","FALSE"
"11","The Philadelphia Orchestra","First Violins","Miyo Curnow","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/miyo-curnow/","First Violins","FALSE"
"12","The Philadelphia Orchestra","First Violins","Elina Kalendarova","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/elina-kalendarova/","First Violins","FALSE"
"13","The Philadelphia Orchestra","First Violins","Daniel Han","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/daniel-han/","First Violins","FALSE"
"14","The Philadelphia Orchestra","First Violins","Julia Li","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/julia-li/","First Violins","FALSE"
"15","The Philadelphia Orchestra","First Violins","William Polk","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/william-polk/","First Violins","FALSE"
"16","The Philadelphia Orchestra","First Violins","Mei Ching Huang","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/mei-ching-huang/","First Violins","FALSE"
"17","The Philadelphia Orchestra","Second Violins ","Kimberly Fisher","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/kimberly-fisher/","Principal ","TRUE"
"18","The Philadelphia Orchestra","Second Violins ","Paul Roby","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/paul-roby/","Associate Principal","TRUE"
"19","The Philadelphia Orchestra","Second Violins ","Dara Morales","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/dara-morales/","Assistant Principal","TRUE"
"20","The Philadelphia Orchestra","Second Violins ","Philip Kates","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/philip-kates/","Second Violins ","FALSE"
"21","The Philadelphia Orchestra","Second Violins ","Davyd Booth","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/davyd-booth/","Second Violins ","FALSE"
"22","The Philadelphia Orchestra","Second Violins ","Paul Arnold","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/paul-arnold/","Second Violins","FALSE"
"23","The Philadelphia Orchestra","Second Violins ","Dmitri Levin","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/dmitri-levin/","Second Violins ","FALSE"
"24","The Philadelphia Orchestra","Second Violins ","Boris Balter","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/boris-balter/","Second Violins ","FALSE"
"25","The Philadelphia Orchestra","Second Violins ","Amy Oshiro-Morales","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/amy-oshiro-morales/","Second Violins ","FALSE"
"26","The Philadelphia Orchestra","Second Violins ","Yu-Ting Chen","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/yu-ting-chen/","Second Violins ","FALSE"
"27","The Philadelphia Orchestra","Second Violins ","Jeoung-Yin Kim","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/jeoung-yin-kim/","Second Violins ","FALSE"
"28","The Philadelphia Orchestra","Second Violins ","Christine Lim","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/christine-lim/","Second Violins ","FALSE"
"29","The Philadelphia Orchestra","Violas ","Choong-Jin Chang","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/choong-jin-chang/","Principal","TRUE"
"30","The Philadelphia Orchestra","Violas ","Kirsten Johnson","https://www.philorch.org/your-philorch/meet-your-orchestra/musicians/kirsten-johnson/","Associate Principal","TRUE"
