"","orchestra","section","name","link","title","isLead"
"1","The Saint Paul Chamber Orchestra","Violin","Steven Copes","https://content.thespco.org/people/steven-copes/","Concertmaster","TRUE"
"2","The Saint Paul Chamber Orchestra","Violin","Kyu-Young Kim","https://content.thespco.org/people/kyu-young-kim/","Artistic Director and Principal Violin","TRUE"
"3","The Saint Paul Chamber Orchestra","Violin","Daria Adams","https://content.thespco.org/people/daria-adams/","Violin","FALSE"
"4","The Saint Paul Chamber Orchestra","Violin","Nina Tso-Ning Fan","https://content.thespco.org/people/nina-tso-ning-fan/","Violin","FALSE"
"5","The Saint Paul Chamber Orchestra","Violin","Eunice Kim","https://content.thespco.org/people/eunice-kim/","Violin","FALSE"
"6","The Saint Paul Chamber Orchestra","Violin","Eunae Koh","https://content.thespco.org/people/eunae-koh/","Violin","FALSE"
"7","The Saint Paul Chamber Orchestra","Violin","Maureen Nelson","https://content.thespco.org/people/maureen-nelson/","Violin","FALSE"
"8","The Saint Paul Chamber Orchestra","Viola","Maiya Papach","https://content.thespco.org/people/maiya-papach/","Principal Viola","TRUE"
"9","The Saint Paul Chamber Orchestra","Viola","Hyobi Sim","https://content.thespco.org/people/hyobi-sim/","Associate Principal Viola","TRUE"
"10","The Saint Paul Chamber Orchestra","Viola","Dana Kelley","https://content.thespco.org/people/dana-kelley/","Viola","FALSE"
"11","The Saint Paul Chamber Orchestra","Cello","Julie Albers","https://content.thespco.org/people/julie-albers/","Principal Cello","TRUE"
"12","The Saint Paul Chamber Orchestra","Cello","Joshua Koestenbaum","https://content.thespco.org/people/joshua-koestenbaum/","Associate Principal Cello","TRUE"
"13","The Saint Paul Chamber Orchestra","Cello","Sarah Lewis","https://content.thespco.org/people/sarah-lewis/","Cello","FALSE"
"14","The Saint Paul Chamber Orchestra","Cello","Richard Belcher","https://content.thespco.org/people/richard-belcher/","Cello","FALSE"
"15","The Saint Paul Chamber Orchestra","Double bass","Zachary Cohen","https://content.thespco.org/people/zachary-cohen/","Principal Bass","TRUE"
"16","The Saint Paul Chamber Orchestra","Flute","Julia Bogorad-Kogan","https://content.thespco.org/people/julia-bogorad-kogan/","Principal Flute","TRUE"
"17","The Saint Paul Chamber Orchestra","Flute","Alicia McQuerrey","https://content.thespco.org/people/alicia-mcquerrey/","Flute","FALSE"
"18","The Saint Paul Chamber Orchestra","Oboe","Cassie Pilgrim","https://content.thespco.org/people/cassie-pilgrim/","Principal Oboe","TRUE"
"19","The Saint Paul Chamber Orchestra","Oboe","Barbara Bishop","https://content.thespco.org/people/barbara-bishop/","Oboe","FALSE"
"20","The Saint Paul Chamber Orchestra","Clarinet","Sang Yoon Kim","https://content.thespco.org/people/sang-yoon-kim/","Principal Clarinet","TRUE"
"21","The Saint Paul Chamber Orchestra","Horn","James Ferree","https://content.thespco.org/people/james-ferree/","Principal Horn","TRUE"
"22","The Saint Paul Chamber Orchestra","Horn","Matthew Wilson","https://content.thespco.org/people/matthew-wilson/","Horn","FALSE"
"23","The Saint Paul Chamber Orchestra","Trumpet","Lynn Erickson","https://content.thespco.org/people/lynn-erickson/","Trumpet","FALSE"
